subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6212499144095236,0.625,0.6148290804044294,0.6397624039133474,0.625,0.25
B62,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.595232455636979,0.6375,0.6372732958098812,0.6378446115288221,0.6375,0.275
B63,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6307307150680646,0.54375,0.5428750342452351,0.5440875452684617,0.54375,0.08750000000000002
B64,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5889410690169703,0.50625,0.347073712485149,0.7515723270440251,0.50625,0.012499999999999956
B65,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5937460326761004,0.75,0.7499609313955306,0.7501563477173233,0.75,0.5
B66,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6075969465648855,0.575,0.5707070707070707,0.578125,0.575,0.15000000000000002
B67,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5851992437712628,0.475,0.4501718213058419,0.469488939740656,0.475,-0.050000000000000044
B68,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6327900872856009,0.575,0.5717209888206582,0.5773694390715667,0.575,0.15000000000000002
B69,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6326106870229007,0.625,0.6247654784240151,0.62531328320802,0.625,0.25
B70,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6043387849154161,0.55,0.53125,0.5595238095238095,0.55,0.09999999999999998
B71,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6280923128009297,0.5,0.4791666666666667,0.5,0.5,0.0
B72,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6062346185397867,0.48125,0.4807429130009775,0.4811764705882353,0.48124999999999996,-0.03750000000000009
B73,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6308895405669599,0.51875,0.5118665557272475,0.5198708395429708,0.51875,0.03749999999999998
B74,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.63434286216562,0.48125,0.47215708096506215,0.47986239301896294,0.48125,-0.03750000000000009
B75,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6249413970932958,0.5125,0.3887147335423198,0.5657894736842105,0.5125,0.025000000000000022
B76,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6247654784240151,0.5125,0.4992778045257583,0.5139762403913347,0.5125,0.025000000000000022
B77,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6358654909784405,0.5875,0.5874355368026254,0.5875547217010632,0.5874999999999999,0.17500000000000004
B78,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5624957274973388,0.625,0.6,0.6666666666666667,0.625,0.25
B79,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6295346468635741,0.675,0.6661852030171722,0.6956673654786862,0.675,0.35
B80,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6278924327704816,0.5125,0.4498324810439076,0.5229621125143513,0.5125,0.025000000000000022
B81,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6295780736008441,0.4875,0.46326296841760756,0.484744469870328,0.4875,-0.02499999999999991
