subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6143533578643279,0.535,0.5146011117200344,0.542072364466883,0.535,0.06999999999999995
sub-002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5909934558952943,0.5,0.4995495946351717,0.5,0.5,0.0
sub-003,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5899934398950384,0.56,0.5512035903712771,0.5651041666666667,0.5599999999999999,0.12
sub-004,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.587999587999588,0.525,0.4972347913524384,0.5320883070209216,0.525,0.050000000000000044
sub-005,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6042006767618011,0.59,0.5866518802298619,0.5930136420008267,0.5900000000000001,0.18000000000000005
sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5894547373847967,0.68,0.6767676767676768,0.6875,0.6799999999999999,0.36
sub-007,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5964264487202793,0.45,0.4220260613703237,0.43799603174603174,0.45,-0.10000000000000009
sub-008,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.600999600999601,0.525,0.4972347913524384,0.5320883070209216,0.525,0.050000000000000044
sub-009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6052433094619776,0.505,0.478604344963792,0.5062695924764891,0.505,0.010000000000000009
sub-010,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6054991123730029,0.525,0.513307205614898,0.52765792676181,0.525,0.050000000000000044
sub-011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6004375683700578,0.575,0.5747342088805503,0.575187969924812,0.575,0.15000000000000002
sub-012,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.591999591999592,0.555,0.552482715273413,0.5562659846547314,0.5549999999999999,0.10999999999999999
