subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.625843806596784,0.5648148148148148,0.5629789065863109,0.5659225671433554,0.5648148148148149,0.12962962962962965
VP002,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.6440489432703003,0.6018518518518519,0.6015444015444016,0.6021671826625387,0.6018518518518519,0.20370370370370372
VP003,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6314498842493355,0.6481481481481481,0.6402524544179524,0.662406015037594,0.6481481481481481,0.2962962962962963
VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6555130262995432,0.5555555555555556,0.5183946488294314,0.5803571428571428,0.5555555555555556,0.11111111111111116
VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6703522827041264,0.6574074074074074,0.6566715353552711,0.6587685921826357,0.6574074074074074,0.31481481481481477
VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6738548544289029,0.6111111111111112,0.6089655172413793,0.6136044880785414,0.6111111111111112,0.2222222222222222
VP007,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6814421533522657,0.5555555555555556,0.5554030874785592,0.5556318681318682,0.5555555555555556,0.11111111111111116
VP008,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.686855550713548,0.6759259259259259,0.6711613745106568,0.6867491809246451,0.6759259259259259,0.35185185185185186
VP009,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6610820543599417,0.7870370370370371,0.7868725868725869,0.7879256965944272,0.787037037037037,0.5740740740740741
VP010,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6572651889158396,0.6018518518518519,0.5917362637362638,0.6130567186905216,0.6018518518518519,0.20370370370370372
VP011,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6351539055131613,0.5370370370370371,0.5036764705882353,0.550656660412758,0.537037037037037,0.07407407407407407
VP012,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6481433215819147,0.6574074074074074,0.6538161656415143,0.6642218246869409,0.6574074074074074,0.31481481481481477
VP013,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.6273163964990952,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.14814814814814814
VP014,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6386100386100386,0.7037037037037037,0.7032967032967032,0.7048275862068966,0.7037037037037037,0.40740740740740744
VP015,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.655385375494071,0.6481481481481481,0.6480274442538594,0.6483516483516484,0.6481481481481481,0.2962962962962963
VP016,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6648044692737429,0.6111111111111112,0.5973011363636364,0.6287758346581875,0.6111111111111112,0.2222222222222222
VP017,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6440489432703003,0.5925925925925926,0.589069526115531,0.5958806818181819,0.5925925925925926,0.18518518518518523
VP018,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6555366549604917,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.2592592592592593
VP019,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6480274442538594,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.2592592592592593
VP020,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6573968332355937,0.6388888888888888,0.6317859952793077,0.6505016722408027,0.6388888888888888,0.2777777777777778
VP021,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6461980179679541,0.6759259259259259,0.6745587602238485,0.6789326822462505,0.6759259259259259,0.35185185185185186
VP022,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6312677786508643,0.6574074074074074,0.655011655011655,0.6619047619047619,0.6574074074074074,0.31481481481481477
VP023,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6536740118322901,0.6111111111111112,0.6,0.625,0.6111111111111112,0.2222222222222222
VP024,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6313790867833657,0.5555555555555556,0.5541795665634675,0.55625,0.5555555555555556,0.11111111111111116
VP025,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6290138638893088,0.7129629629629629,0.7123464215138757,0.7148045658941543,0.712962962962963,0.42592592592592593
VP026,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6422380205347549,0.6203703703703703,0.6187688334050796,0.622427624694803,0.6203703703703705,0.2407407407407407
