subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5545036892663233,0.55,0.549929676511955,0.5500312695434647,0.55,0.09999999999999998
B62,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5508771929824561,0.525,0.525,0.525,0.525,0.050000000000000044
B63,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5429957644941359,0.44375,0.44320625610948194,0.4435294117647059,0.44375,-0.11250000000000004
B64,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5336052665042893,0.50625,0.4991877649669163,0.5066236131809903,0.50625,0.012499999999999956
B65,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5171297347583085,0.54375,0.5437321770381656,0.5437568370057821,0.54375,0.08750000000000002
B66,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.54375,0.55,0.5428571428571428,0.5533333333333333,0.55,0.09999999999999998
B67,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5607562690660941,0.56875,0.5685983353522723,0.5688468158347677,0.5687500000000001,0.13749999999999996
B68,"{""C"": 0.1, ""gamma"": ""scale""}",0.5453113899203855,0.5125,0.5124238162212846,0.5125078173858661,0.5125,0.025000000000000022
B69,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5355281388137494,0.54375,0.53722413724791,0.5463652922669315,0.54375,0.08750000000000002
B70,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5525963296473372,0.51875,0.5182795698924731,0.5188235294117647,0.51875,0.03749999999999998
B71,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5593061415846226,0.53125,0.5281349534033266,0.5320975766329642,0.53125,0.0625
B72,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.534982715976896,0.51875,0.5172224616952075,0.518990346573825,0.51875,0.03749999999999998
B73,"{""C"": 0.1, ""gamma"": ""auto""}",0.526552097091977,0.54375,0.5234792542123945,0.5527207682169084,0.54375,0.08750000000000002
B74,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5292726255317797,0.53125,0.5303510625807208,0.5314911037631869,0.53125,0.0625
B75,"{""C"": 0.1, ""gamma"": ""scale""}",0.5479507966340713,0.48125,0.48106756281505214,0.48122359568142703,0.48125,-0.03750000000000009
B76,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5343568108129224,0.51875,0.5178270909162068,0.5188946622579121,0.51875,0.03749999999999998
B77,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5384664275883648,0.49375,0.4937302238368686,0.49374902328488823,0.49375,-0.012499999999999956
B78,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.5342612942612943,0.525,0.5247029393370857,0.525062656641604,0.525,0.050000000000000044
B79,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5109363059968408,0.525,0.525,0.525,0.525,0.050000000000000044
B80,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5124061185167709,0.53125,0.5281349534033266,0.5320975766329642,0.53125,0.0625
B81,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5246115037544219,0.50625,0.4783541744046882,0.5079507056251242,0.5062500000000001,0.012499999999999956
