subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5056910569105691,0.5,0.4967793880837359,0.5,0.5,0.0
sub-002,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5292840410264011,0.5,0.4999499949995,0.5,0.5,0.0
sub-003,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.521942155000755,0.54,0.5388471177944862,0.5404040404040404,0.54,0.07999999999999996
sub-004,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5129298619001137,0.5,0.49979991996798717,0.5,0.5,0.0
sub-005,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5198444295951888,0.475,0.4749868746718668,0.47499749974997496,0.475,-0.050000000000000044
sub-006,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5259198804597978,0.485,0.4803097959080703,0.48443821973233736,0.485,-0.030000000000000027
sub-007,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5274479011310997,0.5,0.4975379358858406,0.5,0.5,0.0
sub-008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5374860089517708,0.545,0.5449886247156179,0.545004500450045,0.545,0.08999999999999997
sub-009,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5264136888948011,0.47,0.46994699469946993,0.4699879951980792,0.47,-0.06000000000000005
sub-010,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5279697900665643,0.515,0.5144051463042227,0.5150738619234247,0.515,0.030000000000000027
sub-011,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5210247367950849,0.48,0.47953157842057853,0.4799277398635087,0.48,-0.040000000000000036
sub-012,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5154465779852229,0.47,0.47,0.47,0.47,-0.06000000000000005
sub-013,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5194854644352992,0.53,0.5292467948717949,0.5301932367149759,0.53,0.06000000000000005
sub-014,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5154901886763207,0.565,0.5644664714274987,0.5653200683348407,0.565,0.13
sub-015,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5219880497012426,0.555,0.551761476668933,0.5566368036247555,0.5549999999999999,0.10999999999999999
sub-016,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5389884747118678,0.555,0.554899852466805,0.5550495445901311,0.5549999999999999,0.10999999999999999
sub-017,"{""C"": 0.1, ""gamma"": ""scale""}",0.5280609787254593,0.535,0.5347091932457786,0.5350877192982456,0.535,0.06999999999999995
sub-018,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5212126078678727,0.495,0.4939752999824645,0.4949591692710959,0.495,-0.010000000000000009
sub-019,"{""C"": 0.1, ""gamma"": ""scale""}",0.5104414520296512,0.545,0.544897601960441,0.5450405364828346,0.545,0.08999999999999997
sub-020,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5264904114308315,0.51,0.5095586027424682,0.5100361300682457,0.51,0.020000000000000018
sub-021,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5254657148979014,0.555,0.554899852466805,0.5550495445901311,0.5549999999999999,0.10999999999999999
sub-022,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5249957249615247,0.52,0.5198079231692677,0.5200320512820513,0.52,0.040000000000000036
sub-023,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5243705098713125,0.5175879396984925,0.5175757575757576,0.5175757575757576,0.5175757575757576,0.035151515151515045
sub-024,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5407835074675262,0.495,0.4946841776110069,0.4949874686716792,0.495,-0.010000000000000009
sub-025,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5144241287701203,0.525,0.5244174113288779,0.525123103205708,0.525,0.050000000000000044
sub-026,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.50448996592181,0.542713567839196,0.5415559099769626,0.5434627170582227,0.5429797979797979,0.0859118671445156
sub-027,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.50999950999951,0.56,0.5571658615136876,0.5615763546798029,0.56,0.12
sub-028,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5214855249371293,0.44,0.4318181818181818,0.4363327674023769,0.44000000000000006,-0.1200000000000001
sub-029,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5344859181990256,0.485,0.4848840989222575,0.4849864878390552,0.485,-0.030000000000000027
sub-030,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5225411620567365,0.58,0.5784825371336813,0.5811688311688312,0.5800000000000001,0.16000000000000003
sub-031,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5245088597842835,0.475,0.4743560862056019,0.474876896794292,0.475,-0.050000000000000044
sub-032,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.517951795179518,0.505,0.5049876246906173,0.5050005000500051,0.505,0.010000000000000009
sub-033,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5274573530261106,0.575,0.5749043534795328,0.5750675608047242,0.575,0.15000000000000002
sub-034,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5284008462779299,0.455,0.45389413562463987,0.45463252343986293,0.45499999999999996,-0.09000000000000008
sub-035,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5274857064426199,0.535,0.534429676353533,0.5351723444879911,0.5349999999999999,0.06999999999999995
sub-036,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5153981124531433,0.465,0.4648795979095296,0.46496847162446203,0.46499999999999997,-0.07000000000000006
sub-037,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5354023183374303,0.495,0.49346773991323756,0.49493875898370276,0.495,-0.010000000000000009
sub-038,"{""C"": 100.0, ""gamma"": ""scale""}",0.50995099509951,0.455,0.4463492063492064,0.452,0.45499999999999996,-0.09000000000000008
sub-039,"{""C"": 0.1, ""gamma"": ""scale""}",0.5142612447393966,0.445,0.4388129123587553,0.4424626006904488,0.44500000000000006,-0.1100000000000001
sub-040,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5217685359714102,0.525,0.5244174113288779,0.525123103205708,0.525,0.050000000000000044
sub-041,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.525479951527952,0.525,0.5247029393370857,0.525062656641604,0.525,0.050000000000000044
sub-042,"{""C"": 0.1, ""gamma"": ""scale""}",0.5222355769230769,0.455,0.4533463727776524,0.4544488308533252,0.455,-0.09000000000000008
sub-043,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5325793213892503,0.595,0.5949088544922607,0.5950855770193173,0.595,0.18999999999999995
sub-044,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5280893197304954,0.535,0.5348953514540772,0.535031528375538,0.535,0.06999999999999995
sub-045,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.521385012749313,0.5,0.4987468671679198,0.5,0.5,0.0
sub-046,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5229193733741002,0.525,0.5249881247031176,0.525002500250025,0.525,0.050000000000000044
sub-047,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5324662206844444,0.495,0.49438061625491225,0.4949753793588584,0.495,-0.010000000000000009
sub-048,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5064791487440344,0.52,0.518796992481203,0.5202020202020202,0.52,0.040000000000000036
sub-049,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.502999502999503,0.455,0.4476957766461453,0.4524865378523915,0.45499999999999996,-0.09000000000000008
sub-050,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.53270794246404,0.5,0.4995495946351717,0.5,0.5,0.0
sub-051,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5252150103099386,0.53,0.5288220551378446,0.5303030303030303,0.53,0.06000000000000005
