subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7351624796364572,0.6574074074074074,0.6538161656415143,0.6642218246869409,0.6574074074074074,0.31481481481481477
VP002,"{""C"": 100.0, ""gamma"": ""scale""}",0.7129383520535025,0.6944444444444444,0.6884343036978757,0.7107023411371238,0.6944444444444444,0.38888888888888884
VP003,"{""C"": 100.0, ""gamma"": ""scale""}",0.7703577699736611,0.7037037037037037,0.7,0.7142857142857142,0.7037037037037037,0.40740740740740744
VP004,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7183291924613251,0.48148148148148145,0.3890909090909091,0.453125,0.48148148148148145,-0.03703703703703698
VP005,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7492768925467483,0.7777777777777778,0.7777015437392796,0.7781593406593407,0.7777777777777778,0.5555555555555556
VP006,"{""C"": 100.0, ""gamma"": ""scale""}",0.748117051487838,0.5833333333333334,0.5727472527472528,0.5925009516558812,0.5833333333333333,0.16666666666666663
VP007,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.742584647674311,0.5092592592592593,0.3684210526315789,0.5857142857142856,0.5092592592592593,0.01851851851851849
VP008,"{""C"": 100.0, ""gamma"": ""scale""}",0.7240731278227976,0.6851851851851852,0.6798046738751309,0.6985294117647058,0.6851851851851851,0.37037037037037035
VP009,"{""C"": 100.0, ""gamma"": ""scale""}",0.7294477769694308,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
VP010,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7073913520632134,0.4537037037037037,0.4398241758241759,0.44861058241339935,0.4537037037037037,-0.09259259259259256
VP011,"{""C"": 100.0, ""gamma"": ""scale""}",0.7036020583190394,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.698138831445415,0.5092592592592593,0.4996066089693155,0.5100334448160535,0.5092592592592593,0.01851851851851849
VP013,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6999835381913959,0.6296296296296297,0.62642684192321,0.6342329545454546,0.6296296296296297,0.2592592592592593
VP014,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.721576769190579,0.6666666666666666,0.6345864661654135,0.7568710359408033,0.6666666666666666,0.33333333333333337
VP015,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7444409388331801,0.4722222222222222,0.47108858149325544,0.47198201314424076,0.4722222222222222,-0.05555555555555558
VP016,"{""C"": 100.0, ""gamma"": ""auto""}",0.7126071714296505,0.6944444444444444,0.6944182457343737,0.6945111492281304,0.6944444444444444,0.38888888888888884
VP017,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.733201581027668,0.5277777777777778,0.5184893784421715,0.5301003344481605,0.5277777777777778,0.05555555555555558
VP018,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7296259207945239,0.4537037037037037,0.45253028610705387,0.4533033552404012,0.4537037037037037,-0.09259259259259256
VP019,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7350752541349462,0.6018518518518519,0.5940204563335956,0.6103678929765887,0.6018518518518519,0.20370370370370372
VP020,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7462884656933856,0.5462962962962963,0.42869480729785164,0.7621359223300971,0.5462962962962963,0.09259259259259256
VP021,"{""C"": 100.0, ""gamma"": ""scale""}",0.7197697396683564,0.5740740740740741,0.573489010989011,0.5744827586206896,0.5740740740740742,0.14814814814814814
VP022,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7277693755980124,0.6018518518518519,0.5976782465563545,0.6062611806797853,0.6018518518518519,0.20370370370370372
VP023,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7106308138336608,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
VP024,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7221269296740995,0.5740740740740741,0.5739279588336192,0.5741758241758241,0.5740740740740741,0.14814814814814814
VP025,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6959584723767149,0.6666666666666666,0.6522361359570662,0.6998355263157895,0.6666666666666666,0.33333333333333337
VP026,"{""C"": 100.0, ""gamma"": ""scale""}",0.7148109027558677,0.6574074074074074,0.6573780330961159,0.6574614065180102,0.6574074074074074,0.31481481481481477
