subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 100.0, ""gamma"": ""auto""}",0.5859284017471087,0.575,0.5717209888206582,0.5773694390715667,0.575,0.15000000000000002
B62,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5623931623931624,0.4875,0.4875,0.4875,0.4875,-0.02499999999999991
B63,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.565281130581808,0.48125,0.4682682682682683,0.4792207792207792,0.48124999999999996,-0.03750000000000009
B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.5560375570341276,0.5125,0.5047619047619047,0.5133333333333334,0.5125,0.025000000000000022
B65,"{""C"": 100.0, ""gamma"": ""auto""}",0.5841150719199499,0.625,0.6240601503759399,0.6262626262626263,0.625,0.25
B66,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.5937341302394625,0.4375,0.43316013226263583,0.435525467440361,0.4375,-0.125
B67,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5937341302394625,0.49375,0.3861020321159585,0.47906855049712194,0.49374999999999997,-0.012499999999999956
B68,"{""C"": 100.0, ""gamma"": ""auto""}",0.607466541556401,0.49375,0.4617716682586486,0.4918015986882558,0.49375,-0.012499999999999956
B69,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6028108171502848,0.54375,0.538540555489708,0.5458190148911799,0.54375,0.08750000000000002
B70,"{""C"": 100.0, ""gamma"": ""scale""}",0.596875,0.53125,0.5303510625807208,0.5314911037631869,0.53125,0.0625
B71,"{""C"": 100.0, ""gamma"": ""scale""}",0.6060614942697189,0.45625,0.44264264264264264,0.45151515151515154,0.45625000000000004,-0.08749999999999991
B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.5936507936507937,0.51875,0.5172224616952075,0.518990346573825,0.51875,0.03749999999999998
B73,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.5389262941445105,0.55,0.5454545454545454,0.5520833333333333,0.55,0.09999999999999998
B74,"{""C"": 100.0, ""gamma"": ""scale""}",0.5885310862906439,0.60625,0.5908924875197857,0.6250229821658393,0.60625,0.21250000000000002
B75,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5999843743896246,0.4875,0.4735997432193869,0.4860237596086653,0.48750000000000004,-0.02499999999999991
B76,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5825832061068702,0.6125,0.6122576610381488,0.612781954887218,0.6125,0.22499999999999998
B77,"{""C"": 100.0, ""gamma"": ""auto""}",0.5572824679147533,0.43125,0.37238674080779344,0.3899724931232808,0.43125,-0.13749999999999996
B78,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5748962148962149,0.575,0.5572916666666667,0.5892857142857143,0.575,0.15000000000000002
B79,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.573436458585104,0.625,0.6131528046421664,0.6424501424501424,0.625,0.25
B80,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.5953115119909961,0.475,0.38223938223938225,0.43740219092331767,0.47500000000000003,-0.050000000000000044
B81,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5836879224501375,0.575,0.5652173913043479,0.5824175824175823,0.575,0.15000000000000002
