subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 100.0, ""gamma"": ""auto""}",0.42704842395371595,0.32,0.26179494858740143,0.3045874897668354,0.32,-0.020000000000000018
sub-002,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.39970946347315733,0.3566666666666667,0.30831402605751684,0.39317765567765567,0.3566666666666667,0.03500000000000003
sub-003,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.474417516970159,0.30666666666666664,0.30296648172075696,0.305007215007215,0.30666666666666664,-0.039999999999999813
sub-004,"{""C"": 100.0, ""gamma"": ""scale""}",0.4267114381419634,0.42333333333333334,0.40550177226356054,0.4601429716510445,0.42333333333333334,0.135
sub-005,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.45131346885732854,0.35333333333333333,0.34289215686274516,0.3649412968500534,0.35333333333333333,0.030000000000000027
sub-006,"{""C"": 100.0, ""gamma"": ""scale""}",0.4498858626518201,0.36666666666666664,0.34991948470209344,0.3924242424242424,0.3666666666666667,0.050000000000000044
sub-007,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.4009250185474098,0.38333333333333336,0.3206416547399986,0.3774858560024801,0.3833333333333333,0.07499999999999996
sub-008,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.4190072548158357,0.4066666666666667,0.3915546087959881,0.43138102725366884,0.4066666666666667,0.10999999999999999
sub-009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.43434602906760683,0.3,0.25839361178087167,0.29526383513993976,0.3,-0.050000000000000044
sub-010,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.42298400445407486,0.32441471571906355,0.3154102915460563,0.3361664096997996,0.32494949494949493,-0.01233616037008467
sub-011,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.3970137369932522,0.41333333333333333,0.39768756867538296,0.414879005605487,0.41333333333333333,0.12
