subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8610939622175577,0.7083333333333334,0.7037037037037037,0.7222222222222222,0.7083333333333334,0.41666666666666663
VP002,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8499583217560434,0.625,0.5901328273244781,0.6894736842105263,0.625,0.25
VP003,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8333281891416402,0.75,0.7492260061919505,0.753125,0.75,0.5
VP004,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8444252376836646,0.6666666666666666,0.6535685645549318,0.6963636363636363,0.6666666666666667,0.33333333333333337
VP005,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8472116119174943,0.7777777777777778,0.7734067663257278,0.8010033444816054,0.7777777777777777,0.5555555555555556
VP006,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8722064452401531,0.6944444444444444,0.6824378508420208,0.7290909090909091,0.6944444444444444,0.38888888888888884
VP007,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8638626278217248,0.7083333333333334,0.6865021770682148,0.7887700534759359,0.7083333333333333,0.41666666666666663
VP008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8332509881422925,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP009,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8360086164964213,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888
VP010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.85,0.7083333333333334,0.6985044865403789,0.7395740905057675,0.7083333333333333,0.41666666666666663
VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8444252376836646,0.5972222222222222,0.5313131313131313,0.7222222222222222,0.5972222222222222,0.19444444444444442
VP012,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.855515420950264,0.875,0.873015873015873,0.9,0.875,0.75
VP013,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.830543787763039,0.9027777777777778,0.9023066485753053,0.9107002360346184,0.9027777777777778,0.8055555555555556
VP014,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8333281891416402,0.9305555555555556,0.9302190346966466,0.9390243902439024,0.9305555555555556,0.8611111111111112
VP015,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8360086164964213,0.8055555555555556,0.8,0.84375,0.8055555555555556,0.6111111111111112
VP016,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8249662357707892,0.75,0.7428571428571429,0.78125,0.75,0.5
VP017,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.855515420950264,0.875,0.8749758826934207,0.8752895752895753,0.875,0.75
VP018,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8416361180783329,0.8333333333333334,0.8300550747442959,0.8612040133779264,0.8333333333333333,0.6666666666666667
VP019,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8944314112853439,0.7777777777777778,0.7690457097032879,0.8272727272727273,0.7777777777777778,0.5555555555555556
VP020,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8722222222222222,0.7361111111111112,0.7163591125855276,0.8272727272727273,0.7361111111111112,0.4722222222222222
VP021,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8221343873517787,0.875,0.8747826086956522,0.8776223776223776,0.875,0.75
VP022,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8551935394040657,0.7777777777777778,0.7776061776061776,0.7786377708978328,0.7777777777777778,0.5555555555555556
VP023,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8444252376836646,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP024,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8276926877470356,0.7638888888888888,0.7559322033898306,0.8034605146406388,0.7638888888888888,0.5277777777777778
VP025,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8499953702274762,0.9305555555555556,0.9302190346966466,0.9390243902439024,0.9305555555555556,0.8611111111111112
VP026,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8609007449537882,0.8611111111111112,0.8583792289535799,0.8913043478260869,0.8611111111111112,0.7222222222222222
