subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8518518518518519,0.7037037037037037,0.7020689655172414,0.7082748948106592,0.7037037037037037,0.40740740740740744
VP002,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8537032020000068,0.8240740740740741,0.8184552773599929,0.8698630136986301,0.8240740740740741,0.6481481481481481
VP003,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8592573286327658,0.9166666666666666,0.9166023166023166,0.9179566563467492,0.9166666666666666,0.8333333333333334
VP004,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8555535741231017,0.5,0.36359668267132256,0.5,0.5,0.0
VP005,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8443398168865217,0.8148148148148148,0.813213420961605,0.8259943181818181,0.8148148148148149,0.6296296296296297
VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8666209262435678,0.8425925925925926,0.8424710424710424,0.8436532507739938,0.8425925925925926,0.6851851851851851
VP007,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8629554433713784,0.8148148148148148,0.8106591865357644,0.8451127819548871,0.8148148148148148,0.6296296296296297
VP008,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8517786561264822,0.9444444444444444,0.94442538593482,0.945054945054945,0.9444444444444444,0.8888888888888888
VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.866664837652094,0.8611111111111112,0.8590691605045672,0.8833272661084819,0.8611111111111112,0.7222222222222222
VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8610725201444845,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
VP011,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8722007470391115,0.6296296296296297,0.5939849624060151,0.6997885835095138,0.6296296296296297,0.2592592592592593
VP012,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8481398156277435,0.6944444444444444,0.6670092497430626,0.7900255754475703,0.6944444444444444,0.38888888888888884
VP013,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8498511899653636,0.8888888888888888,0.8887362637362637,0.8910344827586207,0.8888888888888888,0.7777777777777778
VP014,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8555535741231017,0.8240740740740741,0.8236961938310852,0.8268765133171913,0.8240740740740741,0.6481481481481481
VP015,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8722112663980108,0.7407407407407407,0.7403846153846154,0.7420689655172414,0.7407407407407407,0.4814814814814815
VP016,"{""C"": 100.0, ""gamma"": ""scale""}",0.8536791161752146,0.75,0.7381230354737315,0.8054042731462085,0.75,0.5
VP017,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8574030062656255,0.8055555555555556,0.7993453065557816,0.8487279843444226,0.8055555555555556,0.6111111111111112
VP018,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8907103825136612,0.7407407407407407,0.7247906807426283,0.8133928571428571,0.7407407407407407,0.4814814814814815
VP019,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8739893755748034,0.7314814814814815,0.7162786484282997,0.7946311654299432,0.7314814814814814,0.4629629629629629
VP020,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8703703703703703,0.6203703703703703,0.556445958128819,0.7842105263157895,0.6203703703703703,0.2407407407407407
VP021,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8628425503871713,0.7777777777777778,0.7662337662337663,0.8461538461538461,0.7777777777777778,0.5555555555555556
VP022,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8573677873483375,0.8425925925925926,0.8422544892172867,0.8455551712210307,0.8425925925925926,0.6851851851851851
VP023,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8703685921617581,0.8425925925925926,0.8394964594807239,0.8712374581939799,0.8425925925925926,0.6851851851851851
VP024,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8629328796443664,0.7592592592592593,0.744448489261012,0.8375,0.7592592592592593,0.5185185185185186
VP025,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8554286341918831,0.9074074074074074,0.9072802197802198,0.9096551724137931,0.9074074074074074,0.8148148148148149
VP026,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8590252682779373,0.7870370370370371,0.7839060461070031,0.8046960320349472,0.787037037037037,0.5740740740740741
