subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7999837986876936,0.82,0.8197115384615384,0.822061191626409,0.8200000000000001,0.64
sub-002,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8154977398473131,0.715,0.7137907659862921,0.7186959617536364,0.7150000000000001,0.43000000000000005
sub-003,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7984995466239799,0.955,0.9549718574108819,0.9561403508771931,0.9550000000000001,0.91
sub-004,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8144962435489318,0.6,0.5998399359743898,0.6001602564102564,0.6,0.19999999999999996
sub-005,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8124999531249883,0.775,0.7701677775224086,0.8002511191178077,0.775,0.55
sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8099982899846099,0.84,0.8376623376623377,0.8607809847198642,0.84,0.6799999999999999
sub-007,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.808980898089809,0.725,0.724938111074992,0.7252026824141727,0.725,0.44999999999999996
sub-008,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7989756760568029,0.9,0.8999599839935974,0.9006410256410255,0.9,0.8
sub-009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8169954248856222,0.76,0.7591328783621036,0.7637987012987013,0.76,0.52
sub-010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8149331908819084,0.785,0.7837837837837838,0.7915601023017903,0.7849999999999999,0.5700000000000001
sub-011,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8109680536010586,0.945,0.9449876222149984,0.9454008607746973,0.9450000000000001,0.89
sub-012,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8079807980798079,0.52,0.517636418450407,0.5203998368013056,0.52,0.040000000000000036
sub-013,"{""C"": 100.0, ""gamma"": ""auto""}",0.8094999523749881,0.74,0.7395833333333333,0.7415458937198067,0.74,0.48
sub-014,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8299862288845397,0.565,0.562539283469516,0.5664961636828645,0.565,0.13
sub-015,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8174616213058795,0.78,0.77997799779978,0.7801120448179272,0.78,0.56
sub-016,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8169641249684938,0.71,0.7050147492625369,0.7252252252252251,0.71,0.42000000000000004
sub-017,"{""C"": 100.0, ""gamma"": ""scale""}",0.8114893962785407,0.695,0.6909123153707786,0.7058916693063035,0.6950000000000001,0.39
sub-018,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8084919087831461,0.675,0.674601386698706,0.6758617224399558,0.675,0.35
sub-019,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8074995668740255,0.775,0.7740453415681253,0.7797273929406978,0.7749999999999999,0.55
sub-020,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8059439177922421,0.88,0.8795664391810518,0.885551948051948,0.8799999999999999,0.76
sub-021,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8029968479495672,0.86,0.8596491228070176,0.8636363636363636,0.8600000000000001,0.72
sub-022,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8084478499271426,0.73,0.7298919567827131,0.7303685897435898,0.73,0.45999999999999996
sub-023,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.815981598159816,0.8291457286432161,0.8290378006872852,0.8302938196555218,0.8292929292929293,0.658386347571443
sub-024,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8029873911930363,0.96,0.9599639675708138,0.9616619831393015,0.96,0.92
sub-025,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.811,0.9,0.899749373433584,0.904040404040404,0.8999999999999999,0.8
sub-026,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8014820837580592,0.8090452261306532,0.8029497602668334,0.8502870264064294,0.8081818181818181,0.6174238591520793
sub-027,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8119952998824971,0.695,0.6940745755911633,0.6973883996355906,0.6950000000000001,0.39
sub-028,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8034822642743508,0.835,0.8349628666449951,0.835301771594435,0.835,0.6699999999999999
sub-029,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7994819032417676,0.665,0.6649916247906198,0.665016501650165,0.665,0.32999999999999996
sub-030,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.812988031233999,0.84,0.8398558702832549,0.8412284223203532,0.8400000000000001,0.6799999999999999
sub-031,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.796979697969797,0.885,0.8849741191768148,0.8853468121309178,0.885,0.77
