subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8666502037288555,0.6527777777777778,0.6410767696909272,0.6756876663708962,0.6527777777777778,0.3055555555555556
VP002,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8943629343629345,0.75,0.7428571428571429,0.78125,0.75,0.5
VP003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.866600790513834,0.7083333333333334,0.7069199457259159,0.7124311565696302,0.7083333333333333,0.41666666666666663
VP004,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8722064452401531,0.7222222222222222,0.71875,0.7337662337662337,0.7222222222222223,0.4444444444444444
VP005,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8749913188415862,0.75,0.7428571428571429,0.78125,0.75,0.5
VP006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8638626278217248,0.75,0.7401764234161989,0.7945454545454546,0.75,0.5
VP007,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8638794360719495,0.7083333333333334,0.6812144212523719,0.8157894736842105,0.7083333333333334,0.41666666666666663
VP008,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.8083200222237655,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
VP009,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8416654449494209,0.8194444444444444,0.8194096083349411,0.8196911196911197,0.8194444444444444,0.6388888888888888
VP010,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8694353774567678,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP011,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8692173913043478,0.6527777777777778,0.6051765738100461,0.7950819672131147,0.6527777777777778,0.3055555555555556
VP012,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8555555555555555,0.9444444444444444,0.9444015444015443,0.9458204334365325,0.9444444444444444,0.8888888888888888
VP013,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8916658307548669,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP014,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8777438177271464,0.9861111111111112,0.9861084314103801,0.9864864864864865,0.9861111111111112,0.9722222222222222
VP015,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8499814791949623,0.8333333333333334,0.8300550747442959,0.8612040133779264,0.8333333333333333,0.6666666666666667
VP016,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8275862068965518,0.7638888888888888,0.7531760435571688,0.819327731092437,0.7638888888888888,0.5277777777777778
VP017,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8638794360719495,0.875,0.8747826086956522,0.8776223776223776,0.875,0.75
VP018,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8694192552575728,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP019,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.8749913188415862,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP020,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8611111111111112,0.8194444444444444,0.8151293699387715,0.8523404255319149,0.8194444444444444,0.6388888888888888
VP021,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778
VP022,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8722182783419241,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP023,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8638037662427906,0.8472222222222222,0.8464818763326225,0.8540519276160503,0.8472222222222222,0.6944444444444444
VP024,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.855515420950264,0.7777777777777778,0.7776061776061776,0.7786377708978328,0.7777777777777778,0.5555555555555556
VP025,"{""C"": 100.0, ""gamma"": ""auto""}",0.8916457650009647,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP026,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.858323494687131,0.9027777777777778,0.9026086956521739,0.9055944055944056,0.9027777777777778,0.8055555555555556
