subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8740723466714222,0.6018518518518519,0.5862068965517242,0.62,0.6018518518518519,0.20370370370370372
VP002,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8870335504182227,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
VP003,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8777358490566038,0.8796296296296297,0.8778599391039583,0.9029850746268657,0.8796296296296297,0.7592592592592593
VP004,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8740723466714222,0.48148148148148145,0.35384615384615387,0.4117647058823529,0.4814814814814815,-0.03703703703703698
VP005,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8739893755748034,0.8333333333333334,0.8318920788654445,0.8451704545454546,0.8333333333333333,0.6666666666666667
VP006,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8814017652468737,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
VP007,"{""C"": 100.0, ""gamma"": ""scale""}",0.8870180517302291,0.7777777777777778,0.7714285714285714,0.8125,0.7777777777777778,0.5555555555555556
VP008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8832849021713399,0.8981481481481481,0.8979293753758915,0.9015911449325493,0.8981481481481481,0.7962962962962963
VP009,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8888751697740461,0.9166666666666666,0.9166595215639202,0.9168096054888508,0.9166666666666667,0.8333333333333334
VP010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8814814814814815,0.6759259259259259,0.6756756756756757,0.6764705882352942,0.6759259259259259,0.35185185185185186
VP011,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8740585257439191,0.6574074074074074,0.6118504128217581,0.7967032967032968,0.6574074074074074,0.31481481481481477
VP012,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8813496477567668,0.8055555555555556,0.8006153846153846,0.8391701560715645,0.8055555555555556,0.6111111111111112
VP013,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8592283628779979,0.9537037037037037,0.9536679536679536,0.9551083591331269,0.9537037037037037,0.9074074074074074
VP014,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8721235521235522,0.8703703703703703,0.8701923076923077,0.8724137931034484,0.8703703703703705,0.7407407407407407
VP015,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8796193089256623,0.7685185185185185,0.7668997668997669,0.7761904761904761,0.7685185185185186,0.537037037037037
VP016,"{""C"": 100.0, ""gamma"": ""scale""}",0.8703543647363872,0.8425925925925926,0.8402783819051762,0.8636694575900983,0.8425925925925926,0.6851851851851851
VP017,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8739634246801032,0.7962962962962963,0.7874776386404294,0.8552631578947368,0.7962962962962963,0.5925925925925926
VP018,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8759220963609988,0.7592592592592593,0.7551447506103941,0.7779411764705882,0.7592592592592593,0.5185185185185186
VP019,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8795796609704302,0.8055555555555556,0.7993453065557816,0.8487279843444226,0.8055555555555556,0.6111111111111112
VP020,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8739893755748034,0.7962962962962963,0.7874776386404294,0.8552631578947368,0.7962962962962963,0.5925925925925926
VP021,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8888141549189441,0.8888888888888888,0.8888507718696398,0.8894230769230769,0.8888888888888888,0.7777777777777778
VP022,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8702564665824593,0.8888888888888888,0.8888507718696398,0.8894230769230769,0.8888888888888888,0.7777777777777778
VP023,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8962962962962963,0.7962962962962963,0.7890625,0.843402225755167,0.7962962962962963,0.5925925925925926
VP024,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8628425503871713,0.7685185185185185,0.766092003811834,0.7801431127012523,0.7685185185185185,0.537037037037037
VP025,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8610534549658808,0.8611111111111112,0.8590691605045672,0.8833272661084819,0.8611111111111112,0.7222222222222222
VP026,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.883156625761182,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
