subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7432620172270075,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
VP002,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7332266239829266,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
VP003,"{""C"": 100.0, ""gamma"": ""scale""}",0.7566639629329215,0.55,0.4357366771159875,0.763157894736842,0.55,0.09999999999999998
VP004,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7431935164700781,0.6166666666666667,0.5506349723217193,0.7830188679245282,0.6166666666666667,0.23333333333333328
VP005,"{""C"": 100.0, ""gamma"": ""scale""}",0.7262286324786325,0.5833333333333334,0.5251661918328585,0.6633986928104576,0.5833333333333334,0.16666666666666663
VP006,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.7564474693891169,0.7666666666666667,0.7643097643097643,0.7777777777777778,0.7666666666666666,0.5333333333333333
VP007,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7394325419803127,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP008,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7931034482758621,0.48333333333333334,0.4714407502131287,0.48168498168498164,0.4833333333333333,-0.03333333333333344
VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7466554069069737,0.6666666666666666,0.6662958843159066,0.6674107142857143,0.6666666666666666,0.33333333333333337
VP010,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.753234627184207,0.6833333333333333,0.667735354124162,0.725718194254446,0.6833333333333333,0.3666666666666667
VP011,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7365232181965737,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.74,0.6833333333333333,0.6832453459294248,0.6835372636262513,0.6833333333333333,0.3666666666666667
VP013,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7533333333333333,0.6833333333333333,0.6832453459294248,0.6835372636262513,0.6833333333333333,0.3666666666666667
VP014,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7564474693891169,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
VP015,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.7632044112905916,0.65,0.6475524475524476,0.6542857142857144,0.6499999999999999,0.30000000000000004
VP016,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7265572895824997,0.6833333333333333,0.6811188811188811,0.6885714285714286,0.6833333333333333,0.3666666666666667
VP017,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7332859174964438,0.5333333333333333,0.4608472400513479,0.5721153846153846,0.5333333333333333,0.06666666666666665
VP018,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.7566639629329215,0.5666666666666667,0.466484268125855,0.7678571428571428,0.5666666666666667,0.1333333333333333
VP019,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.7233302592251025,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
VP020,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.779990221787635,0.8166666666666667,0.8166157265907197,0.8170189098998888,0.8166666666666667,0.6333333333333333
VP021,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7599893328592382,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.2666666666666667
VP022,"{""C"": 100.0, ""gamma"": ""scale""}",0.7599573257467995,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP023,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.779990221787635,0.5833333333333334,0.5832175604334537,0.5834260289210234,0.5833333333333333,0.16666666666666663
VP024,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8032786885245902,0.5833333333333334,0.5251661918328585,0.6633986928104576,0.5833333333333334,0.16666666666666663
VP025,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7229608696135916,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
VP026,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7130144605116796,0.7333333333333333,0.7129186602870814,0.8260869565217391,0.7333333333333334,0.4666666666666667
