subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7011765683707718,0.7875,0.7874667916862009,0.7876797998749219,0.7875000000000001,0.575
B62,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6935584740462789,0.64375,0.6426192248912574,0.6455926570659914,0.64375,0.2875
B63,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7015559423913122,0.7,0.6918632643235436,0.7236198462613557,0.7,0.4
B64,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.6905161971005431,0.5875,0.5872420262664164,0.5877192982456141,0.5875,0.17500000000000004
B65,"{""C"": 100.0, ""gamma"": ""auto""}",0.6671216720103341,0.70625,0.7053176064892825,0.7088938123120747,0.70625,0.4125
B66,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6827497625262808,0.7125,0.7079365079365079,0.7266666666666667,0.7125,0.42500000000000004
B67,"{""C"": 100.0, ""gamma"": ""scale""}",0.6778701902872389,0.775,0.7678916827852997,0.8133903133903134,0.7749999999999999,0.55
B68,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6811379000429838,0.64375,0.6434017595307917,0.644313725490196,0.64375,0.2875
B69,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6796804617288954,0.5875,0.5843174303259329,0.5902643455834946,0.5875,0.17500000000000004
B70,"{""C"": 100.0, ""gamma"": ""scale""}",0.6855313625263095,0.64375,0.6420581655480984,0.6465201465201464,0.64375,0.2875
B71,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6717596029854245,0.58125,0.5752605095289036,0.586106971352873,0.58125,0.16249999999999998
B72,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6780746991717457,0.61875,0.6169394403234036,0.621038381907947,0.61875,0.23750000000000004
B73,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6698861566818475,0.69375,0.6893696263718848,0.7053320086106971,0.69375,0.38749999999999996
B74,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6999736304948677,0.59375,0.5918207150987087,0.5955566172957478,0.59375,0.1875
B75,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6859367332439776,0.63125,0.6300795485716525,0.6329324260167748,0.63125,0.26249999999999996
B76,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6827745506664615,0.6375,0.6328532995727172,0.6448321263989467,0.6375,0.275
B77,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6842639990621703,0.59375,0.5298159952981599,0.7055498458376156,0.59375,0.1875
B78,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7046867790204565,0.5875,0.578005115089514,0.5961538461538461,0.5875,0.17500000000000004
B79,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6609366722086724,0.76875,0.7629629629629631,0.7978354978354978,0.76875,0.5375
B80,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6968483558125226,0.55625,0.553301089221816,0.5577756379393355,0.5562499999999999,0.11250000000000004
B81,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6796679484831838,0.61875,0.6018114316021378,0.6430992280173226,0.6187499999999999,0.23750000000000004
