subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7799364016200682,0.725,0.7246627118219819,0.7261079288513717,0.725,0.44999999999999996
sub-002,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.773458712850417,0.685,0.6848030018761726,0.6854636591478698,0.685,0.37
sub-003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7669718035882342,0.905,0.9049786201895427,0.9053648283455109,0.905,0.81
sub-004,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8009992039968159,0.58,0.57995799579958,0.5800320128051221,0.58,0.16000000000000003
sub-005,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7859895134861608,0.765,0.7649471131004475,0.765238714843359,0.765,0.53
sub-006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7814955752853996,0.8,0.7998198378540686,0.8010839020473706,0.8,0.6
sub-007,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.778,0.68,0.6788438378161381,0.6826298701298701,0.6799999999999999,0.36
sub-008,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7664952715292485,0.895,0.8949973749343734,0.8950395039503951,0.895,0.79
sub-009,"{""C"": 100.0, ""gamma"": ""scale""}",0.7844999461249865,0.705,0.6977381592766208,0.7267949994468414,0.7050000000000001,0.41000000000000003
sub-010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7889643349726103,0.74,0.7302624753605146,0.7805049088359046,0.74,0.48
sub-011,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7789944748618716,0.935,0.934868107918535,0.9385522734146587,0.935,0.87
sub-012,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.77798201654334,0.505,0.49836588888044386,0.5052792735719565,0.505,0.010000000000000009
sub-013,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.776431532156723,0.76,0.7596153846153846,0.7616747181964574,0.76,0.52
sub-014,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8019714838936807,0.53,0.5219204557013528,0.5321750321750323,0.53,0.06000000000000005
