subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8108250131371519,0.5694444444444444,0.5440245148110316,0.5893743793445878,0.5694444444444444,0.13888888888888884
VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8222002716384739,0.5972222222222222,0.5420048256196535,0.687779433681073,0.5972222222222222,0.19444444444444442
VP003,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8527675533023127,0.6805555555555556,0.6790075596045746,0.6841070023603462,0.6805555555555556,0.36111111111111116
VP004,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8166440301271762,0.6666666666666666,0.6643356643356644,0.6714285714285715,0.6666666666666667,0.33333333333333337
VP005,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8248905565978737,0.6666666666666666,0.6664092664092665,0.6671826625386997,0.6666666666666666,0.33333333333333337
VP006,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8249338098509467,0.7083333333333334,0.6950998185117967,0.7521008403361344,0.7083333333333333,0.41666666666666663
VP007,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8277565131497716,0.7361111111111112,0.7205311542390194,0.8038728897715988,0.7361111111111112,0.4722222222222222
VP008,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7722151918269082,0.9444444444444444,0.9444015444015443,0.9458204334365325,0.9444444444444444,0.8888888888888888
VP009,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8,0.875,0.8747826086956522,0.8776223776223776,0.875,0.75
VP010,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7859112288479213,0.6944444444444444,0.6884343036978757,0.7107023411371238,0.6944444444444444,0.38888888888888884
VP011,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8249878463782208,0.5416666666666666,0.5262213359920239,0.5479148181011535,0.5416666666666666,0.08333333333333337
VP012,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8222167350844162,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP013,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8109010011123471,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP014,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7861094607211476,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP015,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8109010011123471,0.875,0.8743942624539639,0.8823760818253343,0.875,0.75
VP016,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7971830985915493,0.7638888888888888,0.7499489274770174,0.8396226415094339,0.7638888888888888,0.5277777777777778
VP017,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7777160322311754,0.7777777777777778,0.7770897832817337,0.78125,0.7777777777777778,0.5555555555555556
VP018,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8054594861660079,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
VP019,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8415187018744352,0.8055555555555556,0.8,0.84375,0.8055555555555556,0.6111111111111112
VP020,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7970954068515044,0.8055555555555556,0.803125,0.8214285714285714,0.8055555555555556,0.6111111111111112
VP021,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.783273131425396,0.8333333333333334,0.8332046332046332,0.8343653250773994,0.8333333333333334,0.6666666666666667
VP022,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8055495539985802,0.7638888888888888,0.7627447179685987,0.7690794649881982,0.7638888888888888,0.5277777777777778
VP023,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7971830985915493,0.7083333333333334,0.6865021770682148,0.7887700534759359,0.7083333333333333,0.41666666666666663
VP024,"{""C"": 100.0, ""gamma"": ""scale""}",0.7802690236496665,0.6805555555555556,0.669790628115653,0.7076308784383318,0.6805555555555556,0.36111111111111116
VP025,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8138874528352842,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP026,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.811058627396499,0.7916666666666666,0.791304347826087,0.7937062937062938,0.7916666666666667,0.5833333333333333
