subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.82035496870445,0.6296296296296297,0.6190476190476191,0.6458333333333333,0.6296296296296297,0.2592592592592593
VP002,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8350216778631772,0.7407407407407407,0.7247906807426283,0.8133928571428571,0.7407407407407407,0.4814814814814815
VP003,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8129469261767984,0.8425925925925926,0.8419285406801549,0.8484478549005929,0.8425925925925926,0.6851851851851851
VP004,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8055495539985802,0.6111111111111112,0.6089655172413793,0.6136044880785414,0.6111111111111112,0.2222222222222222
VP005,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8203697543544388,0.7592592592592593,0.75625,0.7727272727272727,0.7592592592592593,0.5185185185185186
VP006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8351800981511774,0.8055555555555556,0.7993453065557816,0.8487279843444226,0.8055555555555556,0.6111111111111112
VP007,"{""C"": 100.0, ""gamma"": ""auto""}",0.8222197835361253,0.75,0.7494630122862789,0.7521618817018332,0.75,0.5
VP008,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8055015282022784,0.9444444444444444,0.94442538593482,0.945054945054945,0.9444444444444444,0.8888888888888888
VP009,"{""C"": 100.0, ""gamma"": ""scale""}",0.8333127546610692,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8259163740122915,0.7037037037037037,0.6823529411764706,0.7786116322701688,0.7037037037037037,0.40740740740740744
VP011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8610534549658808,0.6481481481481481,0.6142857142857143,0.7283298097251586,0.6481481481481481,0.2962962962962963
VP012,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8129109937945727,0.8148148148148148,0.8142414860681115,0.81875,0.8148148148148149,0.6296296296296297
VP013,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8147233201581028,0.9259259259259259,0.9256965944272446,0.9312499999999999,0.9259259259259259,0.8518518518518519
VP014,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8127311246089981,0.9166666666666666,0.916487670762093,0.9202698028363887,0.9166666666666666,0.8333333333333334
VP015,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8480960548885077,0.7685185185185185,0.7639653815892997,0.7909698996655519,0.7685185185185186,0.537037037037037
VP016,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8165250965250965,0.8425925925925926,0.8422544892172867,0.8455551712210307,0.8425925925925926,0.6851851851851851
VP017,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8240686440939535,0.7685185185185185,0.7680213076724804,0.7708405396056728,0.7685185185185185,0.537037037037037
VP018,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8462535889598963,0.7777777777777778,0.7727910238429172,0.8045112781954887,0.7777777777777778,0.5555555555555556
VP019,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8016062409224038,0.7962962962962963,0.7904761904761904,0.8333333333333333,0.7962962962962963,0.5925925925925926
VP020,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8222222222222222,0.7870370370370371,0.7802353357515703,0.8275929549902152,0.787037037037037,0.5740740740740741
VP021,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8276779066056803,0.7777777777777778,0.7714285714285714,0.8125,0.7777777777777778,0.5555555555555556
VP022,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8073413379073757,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
VP023,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8259163740122915,0.7314814814814815,0.7209302325581395,0.7727272727272727,0.7314814814814815,0.4629629629629629
VP024,"{""C"": 100.0, ""gamma"": ""scale""}",0.8350896095473714,0.7407407407407407,0.7295169946332737,0.7886513157894737,0.7407407407407407,0.4814814814814815
VP025,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8350896095473714,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP026,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8092586051392494,0.7314814814814815,0.7312741312741313,0.7321981424148607,0.7314814814814815,0.4629629629629629
