subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.7495296723848115,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
VP002,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7207236510055071,0.7333333333333333,0.7285067873303167,0.7511961722488039,0.7333333333333334,0.4666666666666667
VP003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7398959583833533,0.6833333333333333,0.6760443307757886,0.7014652014652014,0.6833333333333333,0.3666666666666667
VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.7192012836512747,0.55,0.48717948717948717,0.5980392156862745,0.55,0.09999999999999998
VP005,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7198007471980075,0.65,0.6327601282424948,0.6846785225718194,0.65,0.30000000000000004
VP006,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6895826611333014,0.8333333333333334,0.8331479421579533,0.8348214285714286,0.8333333333333334,0.6666666666666667
VP007,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7365934981939428,0.7,0.7,0.7,0.7,0.4
VP008,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.7284036168143868,0.6333333333333333,0.6316964285714286,0.6357466063348416,0.6333333333333333,0.2666666666666667
VP009,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6598639455782312,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP010,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7353699795665427,0.6,0.5885714285714285,0.6125,0.6000000000000001,0.19999999999999996
VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.732905982905983,0.6,0.5604395604395604,0.65625,0.6,0.19999999999999996
VP012,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6864436932930084,0.5666666666666667,0.5334928229665072,0.5931677018633541,0.5666666666666667,0.1333333333333333
VP013,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7061965811965811,0.7,0.6875,0.7380952380952381,0.7,0.4
VP014,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.699666295884316,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP015,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7465652927837803,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP016,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7390606182256123,0.75,0.7465502675302731,0.7643948296122209,0.75,0.5
VP017,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6998799519807923,0.6,0.5927601809954751,0.6076555023923444,0.6,0.19999999999999996
VP018,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.7686401180270702,0.6833333333333333,0.667735354124162,0.725718194254446,0.6833333333333333,0.3666666666666667
VP019,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7099967777419749,0.6833333333333333,0.6811188811188811,0.6885714285714286,0.6833333333333333,0.3666666666666667
VP020,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7330367074527253,0.7833333333333333,0.783273131425396,0.7836484983314794,0.7833333333333334,0.5666666666666667
VP021,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7193888913634137,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP022,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7171717171717171,0.6333333333333333,0.576379974326059,0.7884615384615384,0.6333333333333333,0.2666666666666667
VP023,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7399884439308414,0.55,0.5437904815544916,0.5528789659224442,0.55,0.09999999999999998
VP024,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7166383304997166,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.2666666666666667
VP025,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7399884439308414,0.6833333333333333,0.6723196320781835,0.7118100128369704,0.6833333333333333,0.3666666666666667
VP026,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6732752489331437,0.7333333333333333,0.7222222222222222,0.7777777777777777,0.7333333333333334,0.4666666666666667
