subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7234368247969356,0.8125,0.8122359568142701,0.8142677561282212,0.8125,0.625
B62,"{""C"": 100.0, ""gamma"": ""auto""}",0.7107786259541984,0.6625,0.660590823381521,0.6662404092071611,0.6625000000000001,0.32499999999999996
B63,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7280825128926395,0.69375,0.6893696263718848,0.7053320086106971,0.69375,0.38749999999999996
B64,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7499609313955306,0.45,0.43508265125982987,0.4440950384346611,0.45,-0.10000000000000009
B65,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7187060478199718,0.8,0.7994987468671679,0.803030303030303,0.8,0.6
B66,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7281011026359738,0.81875,0.8186862568871869,0.8191988734157409,0.8187500000000001,0.6375
B67,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7171702374412501,0.93125,0.9312473143482167,0.9313173933427098,0.93125,0.8625
B68,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.725,0.575,0.5717209888206582,0.5773694390715667,0.575,0.15000000000000002
B69,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7265297850572945,0.6875,0.6862745098039216,0.6904761904761905,0.6875,0.375
B70,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.70625,0.7125,0.7102818453786806,0.7192134107027723,0.7125,0.42500000000000004
B71,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7296340340741212,0.6125,0.6050326485109094,0.6217038539553752,0.6125,0.22499999999999998
B72,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6979766489394217,0.825,0.8247535596933188,0.8268384663733501,0.825,0.65
B73,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7046002359095338,0.75,0.7498436522826767,0.7506265664160401,0.75,0.5
B74,"{""C"": 100.0, ""gamma"": ""auto""}",0.7194735231098868,0.46875,0.4611513926859226,0.46688193409504886,0.46875,-0.0625
B75,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.709090909090909,0.63125,0.6305428358968338,0.632262635805385,0.6312500000000001,0.26249999999999996
B76,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7217418491270237,0.65,0.6455135306219338,0.6579986833443054,0.6499999999999999,0.30000000000000004
B77,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7249758279536287,0.725,0.7149797570850203,0.7618181818181818,0.725,0.44999999999999996
B78,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6874511642444132,0.55625,0.5560939392755265,0.5563292129557189,0.5562499999999999,0.11250000000000004
B79,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7156000039065933,0.775,0.7714285714285715,0.7933333333333333,0.775,0.55
B80,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7201587786259542,0.6375,0.634703196347032,0.6418439716312057,0.6375,0.275
B81,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7074975742926344,0.70625,0.6988988988988989,0.7285714285714286,0.70625,0.4125
