subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8194963448009822,0.86,0.8599439775910365,0.8605769230769231,0.86,0.72
sub-002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.810460149246379,0.665,0.6635786196680977,0.6678364357644186,0.665,0.32999999999999996
sub-003,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8114995758740458,0.96,0.9599358974358975,0.962962962962963,0.96,0.92
sub-004,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.816988287250384,0.52,0.52,0.52,0.52,0.040000000000000036
sub-005,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8124605698348077,0.76,0.7536945812807883,0.7896613190730838,0.76,0.52
sub-006,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8214946002116563,0.845,0.844965117151359,0.8453107797017315,0.845,0.69
sub-007,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8259859048582936,0.655,0.6524892347208582,0.6596128102152199,0.655,0.31000000000000005
sub-008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8069969119505912,0.895,0.8949763696831787,0.8953558202382144,0.895,0.79
sub-009,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8209983889855008,0.76,0.7599039615846338,0.7604166666666667,0.76,0.52
sub-010,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8189954748868722,0.8,0.7990151743543362,0.8059975520195839,0.8,0.6
sub-011,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8104942674515905,0.935,0.9349202773397411,0.9371419957793187,0.935,0.87
sub-012,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8064995646240204,0.56,0.5555555555555556,0.5625,0.56,0.12
sub-013,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8099878392217101,0.77,0.769792813532179,0.7709755118426336,0.77,0.54
sub-014,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8254842499535583,0.59,0.5858585858585859,0.59375,0.59,0.18000000000000005
sub-015,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8159585906829037,0.795,0.7949948748718718,0.7950295029502951,0.795,0.5900000000000001
sub-016,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8129633408147996,0.735,0.7338756245135698,0.7390397721493236,0.7350000000000001,0.47
sub-017,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.827999827999828,0.745,0.744993624840621,0.7450245024502451,0.745,0.49
sub-018,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8259825982598259,0.63,0.6276167471819646,0.6334154351395731,0.63,0.26
sub-019,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.816498853117832,0.905,0.9049405878674172,0.9060150375939849,0.905,0.81
sub-020,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8149970399526393,0.935,0.934959349593496,0.9360902255639098,0.935,0.87
sub-021,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8064960815456512,0.845,0.8449961249031226,0.845034503450345,0.845,0.69
sub-022,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.816981698169817,0.735,0.7330714411623983,0.7419936154875914,0.735,0.47
sub-023,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8134999533749884,0.7839195979899497,0.7828448166476336,0.7888968923646841,0.7835858585858586,0.5675443472987315
sub-024,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8094702297233942,0.985,0.9849966242404541,0.9854368932038835,0.985,0.97
sub-025,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8174995893740762,0.945,0.9449876222149984,0.9454008607746973,0.9450000000000001,0.89
sub-026,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8069843657336244,0.9396984924623115,0.9396604002425712,0.9404858299595142,0.9395959595959595,0.8793695696100222
sub-027,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8329939877835602,0.73,0.7297567811029927,0.7308309915696507,0.73,0.45999999999999996
sub-028,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8199983799854198,0.8,0.8,0.8,0.8,0.6
sub-029,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8104654573295983,0.78,0.78,0.78,0.78,0.56
sub-030,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.8134962232985218,0.95,0.9499949994999499,0.9501800720288115,0.95,0.9
sub-031,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8024584668926642,0.9,0.899749373433584,0.904040404040404,0.8999999999999999,0.8
sub-032,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.831484791502433,0.63,0.6290726817042607,0.6313131313131313,0.63,0.26
sub-033,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8109931957550471,0.94,0.9398496240601504,0.9444444444444444,0.94,0.88
sub-034,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8244989031181444,0.56,0.5596036432789511,0.5602167804094741,0.56,0.12
sub-035,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8254978623488138,0.975,0.9749993749843746,0.975047504750475,0.975,0.95
sub-036,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.815498846867793,0.855,0.8549963749093727,0.855035503550355,0.855,0.71
sub-037,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8174758611826414,0.91,0.90999099909991,0.9101640656262505,0.91,0.8200000000000001
sub-038,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8139953498837471,0.56,0.5512035903712771,0.5651041666666667,0.5599999999999999,0.12
sub-039,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8074995668740255,0.69,0.6899689968996899,0.6900760304121649,0.69,0.38
sub-040,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.820964909122188,0.79,0.7863899908452854,0.811025311025311,0.79,0.5800000000000001
sub-041,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8234628830711657,0.9,0.899507587177168,0.9079967360261119,0.8999999999999999,0.8
sub-042,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8079723480181147,0.825,0.8249606161386311,0.8252927634871384,0.825,0.65
sub-043,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8239936637718958,0.97,0.9699879951980792,0.9707532051282051,0.97,0.94
sub-044,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8274530240858073,0.63,0.63,0.63,0.63,0.26
sub-045,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8074826253069339,0.795,0.7949948748718718,0.7950295029502951,0.795,0.5900000000000001
sub-046,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8134999533749884,0.935,0.9349853717086345,0.9353918526674007,0.935,0.87
sub-047,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8059765231593023,0.805,0.8047608320192235,0.8065018591096372,0.8049999999999999,0.61
sub-048,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8084827155650798,0.835,0.8349958748968724,0.835033503350335,0.835,0.6699999999999999
sub-049,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8069982629843668,0.61,0.6080795899909557,0.6121991024071807,0.6100000000000001,0.21999999999999997
sub-050,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8224804284672385,0.74,0.7348021215830274,0.7604166666666667,0.74,0.48
sub-051,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8229822982298229,0.77,0.7699079631852741,0.7704326923076923,0.77,0.54
