subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6777600965759438,0.5925925925925926,0.5632352941176471,0.626641651031895,0.5925925925925926,0.18518518518518523
VP002,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6870359637721666,0.7592592592592593,0.7467532467532467,0.823076923076923,0.7592592592592593,0.5185185185185186
VP003,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6936786410470621,0.6944444444444444,0.6944182457343737,0.6945111492281304,0.6944444444444444,0.38888888888888884
VP004,"{""C"": 100.0, ""gamma"": ""scale""}",0.6740338313372021,0.46296296296296297,0.38708414872798436,0.4266304347826087,0.4629629629629629,-0.07407407407407418
VP005,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6761741959497649,0.6574074074074074,0.6571428571428571,0.6578947368421053,0.6574074074074074,0.31481481481481477
VP006,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7089708249945934,0.6666666666666666,0.6493506493506493,0.7076923076923077,0.6666666666666666,0.33333333333333337
VP007,"{""C"": 100.0, ""gamma"": ""auto""}",0.677737992344734,0.5740740740740741,0.49818181818181817,0.6875,0.5740740740740741,0.14814814814814814
VP008,"{""C"": 100.0, ""gamma"": ""auto""}",0.7092343307896768,0.6759259259259259,0.6711613745106568,0.6867491809246451,0.6759259259259259,0.35185185185185186
VP009,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7221879244351155,0.7962962962962963,0.7928147889780258,0.8176470588235294,0.7962962962962963,0.5925925925925926
VP010,"{""C"": 100.0, ""gamma"": ""auto""}",0.6999629583899247,0.5833333333333334,0.5832976078196004,0.5833619210977701,0.5833333333333333,0.16666666666666663
VP011,"{""C"": 100.0, ""gamma"": ""auto""}",0.6870102032067221,0.5092592592592593,0.5020443671161374,0.5098289042591919,0.5092592592592593,0.01851851851851849
VP012,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.677737992344734,0.4722222222222222,0.3930789707187223,0.44193548387096776,0.4722222222222222,-0.05555555555555558
VP013,"{""C"": 100.0, ""gamma"": ""auto""}",0.6830888030888032,0.6574074074074074,0.6559621179509255,0.6600976630624347,0.6574074074074074,0.31481481481481477
VP014,"{""C"": 100.0, ""gamma"": ""scale""}",0.7072628458498024,0.6574074074074074,0.6487032967032966,0.6747240197944423,0.6574074074074074,0.31481481481481477
VP015,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7181318681318681,0.6388888888888888,0.6381132399690694,0.6400899342787962,0.6388888888888888,0.2777777777777778
VP016,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7248350800842848,0.46296296296296297,0.33076923076923076,0.3235294117647059,0.46296296296296297,-0.07407407407407418
VP017,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7067275302140765,0.7222222222222222,0.7213622291021672,0.725,0.7222222222222222,0.4444444444444444
VP018,"{""C"": 100.0, ""gamma"": ""scale""}",0.6887821612349914,0.6111111111111112,0.5561643835616439,0.7201086956521738,0.611111111111111,0.2222222222222222
VP019,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6905019305019304,0.6111111111111112,0.6109777015437392,0.6112637362637363,0.6111111111111112,0.2222222222222222
VP020,"{""C"": 100.0, ""gamma"": ""scale""}",0.7201544401544402,0.6388888888888888,0.6217332734620565,0.6696690406367826,0.6388888888888888,0.2777777777777778
VP021,"{""C"": 100.0, ""gamma"": ""auto""}",0.6814640035118524,0.6481481481481481,0.6462068965517241,0.6514726507713885,0.6481481481481481,0.2962962962962963
VP022,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6833235593691163,0.6481481481481481,0.6476648351648351,0.6489655172413793,0.6481481481481481,0.2962962962962963
VP023,"{""C"": 100.0, ""gamma"": ""auto""}",0.7128438069294871,0.6481481481481481,0.6402524544179524,0.662406015037594,0.6481481481481481,0.2962962962962963
VP024,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6925757243195786,0.5185185185185185,0.41181399245915373,0.5675,0.5185185185185185,0.03703703703703709
VP025,"{""C"": 100.0, ""gamma"": ""auto""}",0.7332418524871355,0.6203703703703703,0.5908712926175737,0.669156626506024,0.6203703703703703,0.2407407407407407
VP026,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6999341419241534,0.6574074074074074,0.6566715353552711,0.6587685921826357,0.6574074074074074,0.31481481481481477
