subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6929922135706341,0.7166666666666667,0.706812302385743,0.7503209242618742,0.7166666666666667,0.43333333333333335
VP002,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6555606335900837,0.6166666666666667,0.5506349723217193,0.7830188679245282,0.6166666666666667,0.23333333333333328
VP003,"{""C"": 100.0, ""gamma"": ""auto""}",0.6564796389145201,0.6,0.5378690629011553,0.7163461538461539,0.6,0.19999999999999996
VP004,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6394230769230769,0.6166666666666667,0.5911111111111111,0.6555555555555554,0.6166666666666667,0.23333333333333328
VP005,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6562044526530113,0.43333333333333335,0.3625,0.38,0.43333333333333335,-0.1333333333333333
VP006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6931151040740082,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP007,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6466509622649895,0.7,0.6875,0.7380952380952381,0.7,0.4
VP008,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6533333333333333,0.55,0.5278344505974935,0.5615595075239398,0.55,0.09999999999999998
VP009,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7030660928168685,0.6666666666666666,0.6651785714285714,0.6696832579185521,0.6666666666666666,0.33333333333333337
VP010,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6765768268963601,0.45,0.3732193732193732,0.4019607843137255,0.45,-0.10000000000000009
VP011,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6928418803418803,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,"{""C"": 100.0, ""gamma"": ""auto""}",0.6432342317310364,0.7166666666666667,0.7127569698676429,0.7291421856639249,0.7166666666666667,0.43333333333333335
VP013,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6664294609500089,0.7333333333333333,0.7285067873303167,0.7511961722488039,0.7333333333333334,0.4666666666666667
VP014,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6511003757380569,0.7333333333333333,0.7222222222222222,0.7777777777777777,0.7333333333333334,0.4666666666666667
VP015,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.66,0.6166666666666667,0.6165601555987774,0.6167964404894327,0.6166666666666667,0.23333333333333328
VP016,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.673202614379085,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
VP017,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6866666666666666,0.4666666666666667,0.3433652530779754,0.3660714285714286,0.4666666666666667,-0.06666666666666665
VP018,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6932106175803654,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP019,"{""C"": 100.0, ""gamma"": ""auto""}",0.6599848882172541,0.7333333333333333,0.7330367074527253,0.734375,0.7333333333333334,0.4666666666666667
VP020,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6830480766022754,0.6833333333333333,0.6480395183698673,0.8061224489795918,0.6833333333333333,0.3666666666666667
VP021,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6464152286070095,0.6166666666666667,0.607843137254902,0.6282051282051282,0.6166666666666667,0.23333333333333328
VP022,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6689369196642552,0.6,0.5769682726204466,0.6278409090909092,0.6,0.19999999999999996
VP023,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6765768268963601,0.6333333333333333,0.6228571428571429,0.6499999999999999,0.6333333333333333,0.2666666666666667
VP024,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6693791675479511,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP025,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6428531692608952,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP026,"{""C"": 100.0, ""gamma"": ""auto""}",0.62640099626401,0.6,0.5769682726204466,0.6278409090909092,0.6,0.19999999999999996
