subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5749833977889761,0.65,0.6499453039537428,0.650093808630394,0.6499999999999999,0.30000000000000004
B62,"{""C"": 100.0, ""gamma"": ""auto""}",0.5827299832242216,0.45,0.45,0.45,0.45,-0.10000000000000009
B63,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5804469492387774,0.58125,0.5575915150014444,0.603359173126615,0.58125,0.16249999999999998
B64,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5901406935930151,0.4625,0.45561006488368416,0.46050032916392364,0.46249999999999997,-0.07499999999999996
B65,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.565625,0.6625,0.6616541353383458,0.6641414141414141,0.6625000000000001,0.32499999999999996
B66,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5804469492387774,0.64375,0.6362330980016753,0.6567024357009027,0.64375,0.2875
B67,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.5605501919416283,0.625,0.6212121212121212,0.6302083333333333,0.625,0.25
B68,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5797685198796538,0.54375,0.5357526133789101,0.5469877496224198,0.54375,0.08750000000000002
B69,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5655868191540272,0.5875,0.5833333333333333,0.5911458333333333,0.5875,0.17500000000000004
B70,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6031094964647057,0.59375,0.539313399778516,0.6777777777777778,0.59375,0.1875
B71,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5858151455874416,0.55625,0.5558162267839688,0.5564705882352942,0.55625,0.11250000000000004
B72,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5437321770381656,0.51875,0.49736852841581336,0.5225946149501035,0.51875,0.03749999999999998
B73,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5726769567907726,0.5125,0.49709864603481624,0.5142450142450143,0.5125,0.025000000000000022
B74,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5745845552297165,0.50625,0.4894785734480391,0.507195538765965,0.50625,0.012499999999999956
B75,"{""C"": 100.0, ""gamma"": ""auto""}",0.5827870353415125,0.44375,0.44355437458481495,0.443670787044281,0.44375,-0.11250000000000004
B76,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5552728162466356,0.5125,0.49473684210526314,0.5145454545454545,0.5125,0.025000000000000022
B77,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5874838860893004,0.55,0.549718574108818,0.550125313283208,0.55,0.09999999999999998
B78,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.58564514513414,0.49375,0.48926108374384236,0.49352226720647774,0.49375,-0.012499999999999956
B79,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5806603035518698,0.6,0.5997498436522827,0.600250626566416,0.6,0.19999999999999996
B80,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5593362697893369,0.4875,0.4533333333333333,0.4833333333333333,0.48750000000000004,-0.02499999999999991
B81,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5936865135177372,0.56875,0.506062368574113,0.6396382100920343,0.56875,0.13749999999999996
