subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7465161445074628,0.6527777777777778,0.6410767696909272,0.6756876663708962,0.6527777777777778,0.3055555555555556
VP002,"{""C"": 100.0, ""gamma"": ""scale""}",0.7610816150141992,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.33333333333333337
VP003,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7409450707603742,0.6111111111111112,0.5909090909090908,0.6384615384615384,0.6111111111111112,0.2222222222222222
VP004,"{""C"": 100.0, ""gamma"": ""scale""}",0.7413293569546708,0.6666666666666666,0.6625,0.6753246753246753,0.6666666666666667,0.33333333333333337
VP005,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7441601779755284,0.625,0.6249276480802624,0.625096525096525,0.625,0.25
VP006,"{""C"": 100.0, ""gamma"": ""auto""}",0.7775305895439377,0.6388888888888888,0.6246992782678429,0.6636363636363636,0.6388888888888888,0.2777777777777778
VP007,"{""C"": 100.0, ""gamma"": ""scale""}",0.765625,0.6111111111111112,0.5851851851851851,0.6481481481481481,0.6111111111111112,0.2222222222222222
VP008,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7333004074577109,0.75,0.746875,0.762987012987013,0.75,0.5
VP009,"{""C"": 100.0, ""gamma"": ""auto""}",0.7471734516689177,0.7083333333333334,0.6911133810010215,0.7681231380337636,0.7083333333333333,0.41666666666666663
VP010,"{""C"": 100.0, ""gamma"": ""scale""}",0.7356521739130435,0.6527777777777778,0.6510951734832332,0.6557828481510621,0.6527777777777778,0.3055555555555556
VP011,"{""C"": 100.0, ""gamma"": ""auto""}",0.7469859977293616,0.6388888888888888,0.6148148148148148,0.6851851851851851,0.6388888888888888,0.2777777777777778
VP012,"{""C"": 100.0, ""gamma"": ""scale""}",0.7827903091060986,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP013,"{""C"": 100.0, ""gamma"": ""auto""}",0.7303037558214074,0.7916666666666666,0.7866877345447363,0.8217021276595745,0.7916666666666666,0.5833333333333333
VP014,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7069199457259159,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP015,"{""C"": 100.0, ""gamma"": ""auto""}",0.7471734516689177,0.7638888888888888,0.7616358325219085,0.7742582197273455,0.7638888888888888,0.5277777777777778
VP016,"{""C"": 100.0, ""gamma"": ""auto""}",0.7497219132369299,0.5833333333333334,0.509090909090909,0.7109375,0.5833333333333334,0.16666666666666663
VP017,"{""C"": 100.0, ""gamma"": ""scale""}",0.7611037377696843,0.7916666666666666,0.7896786757546251,0.8031275060144346,0.7916666666666666,0.5833333333333333
VP018,"{""C"": 100.0, ""gamma"": ""scale""}",0.7610447346485134,0.7083333333333334,0.6911133810010215,0.7681231380337636,0.7083333333333333,0.41666666666666663
VP019,"{""C"": 100.0, ""gamma"": ""scale""}",0.7888302306196165,0.8611111111111112,0.8610038610038611,0.8622291021671826,0.8611111111111112,0.7222222222222222
VP020,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7436532507739938,0.7916666666666666,0.7896786757546251,0.8031275060144346,0.7916666666666666,0.5833333333333333
VP021,"{""C"": 100.0, ""gamma"": ""auto""}",0.724743008518756,0.7222222222222222,0.7142857142857142,0.75,0.7222222222222222,0.4444444444444444
VP022,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7935267857142857,0.5833333333333334,0.5484949832775919,0.6205357142857143,0.5833333333333334,0.16666666666666663
VP023,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7412173913043478,0.6805555555555556,0.6616956077630235,0.7323733862959285,0.6805555555555556,0.36111111111111116
VP024,"{""C"": 100.0, ""gamma"": ""scale""}",0.7296355654658212,0.5972222222222222,0.5670744349989634,0.6347593582887701,0.5972222222222222,0.19444444444444442
VP025,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7499305362600722,0.8472222222222222,0.847192745514181,0.8474903474903475,0.8472222222222223,0.6944444444444444
VP026,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7439386442355269,0.7777777777777778,0.775,0.7922077922077921,0.7777777777777777,0.5555555555555556
