subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.759246049165935,0.7592592592592593,0.7589285714285714,0.7606896551724138,0.7592592592592593,0.5185185185185186
VP002,"{""C"": 100.0, ""gamma"": ""scale""}",0.759246049165935,0.75,0.7381230354737315,0.8054042731462085,0.75,0.5
VP003,"{""C"": 100.0, ""gamma"": ""scale""}",0.762962962962963,0.8148148148148148,0.8145604395604396,0.816551724137931,0.8148148148148149,0.6296296296296297
VP004,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7535135135135136,0.49074074074074076,0.48717948717948717,0.49047619047619045,0.4907407407407407,-0.0185185185185186
VP005,"{""C"": 100.0, ""gamma"": ""scale""}",0.7659442724458204,0.7129629629629629,0.7056703296703297,0.7363913208983632,0.712962962962963,0.42592592592592593
VP006,"{""C"": 100.0, ""gamma"": ""scale""}",0.7717329667497208,0.6944444444444444,0.684685481730514,0.7219178082191782,0.6944444444444444,0.38888888888888884
VP007,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7592559568718364,0.6111111111111112,0.5736842105263158,0.6712473572938689,0.6111111111111112,0.2222222222222222
VP008,"{""C"": 100.0, ""gamma"": ""scale""}",0.7388879934430502,0.8425925925925926,0.8424710424710424,0.8436532507739938,0.8425925925925926,0.6851851851851851
VP009,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7555253735029015,0.8148148148148148,0.8106591865357644,0.8451127819548871,0.8148148148148148,0.6296296296296297
VP010,"{""C"": 100.0, ""gamma"": ""auto""}",0.7537028590633027,0.6481481481481481,0.6451054998270495,0.6534090909090908,0.6481481481481481,0.2962962962962963
VP011,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7185146572655318,0.6111111111111112,0.5683288922725542,0.6840909090909091,0.6111111111111112,0.2222222222222222
VP012,"{""C"": 100.0, ""gamma"": ""auto""}",0.7349224711734195,0.5092592592592593,0.4765432098765432,0.5123456790123457,0.5092592592592593,0.01851851851851849
VP013,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7702159201658179,0.6111111111111112,0.5561643835616439,0.7201086956521738,0.611111111111111,0.2222222222222222
VP014,"{""C"": 100.0, ""gamma"": ""scale""}",0.7477294274447299,0.7962962962962963,0.7928147889780258,0.8176470588235294,0.7962962962962963,0.5925925925925926
VP015,"{""C"": 100.0, ""gamma"": ""scale""}",0.7740461785405606,0.6296296296296297,0.6232996163236832,0.6389705882352941,0.6296296296296297,0.2592592592592593
VP016,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7719398844248195,0.5925925925925926,0.5749552772808586,0.6110197368421053,0.5925925925925926,0.18518518518518523
VP017,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7572200772200772,0.7870370370370371,0.787018777330018,0.7871355060034306,0.787037037037037,0.5740740740740741
VP018,"{""C"": 100.0, ""gamma"": ""scale""}",0.7907055712379653,0.6481481481481481,0.6480274442538594,0.6483516483516484,0.6481481481481481,0.2962962962962963
VP019,"{""C"": 100.0, ""gamma"": ""scale""}",0.7722214410886183,0.8055555555555556,0.8035172832019406,0.818783542039356,0.8055555555555556,0.6111111111111112
VP020,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7665866209262435,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
VP021,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7555253735029015,0.7037037037037037,0.6931818181818181,0.7360890302066773,0.7037037037037037,0.40740740740740744
VP022,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7757528957528957,0.6481481481481481,0.6480274442538594,0.6483516483516484,0.6481481481481481,0.2962962962962963
VP023,"{""C"": 100.0, ""gamma"": ""scale""}",0.7814065180102916,0.6481481481481481,0.6227941176470588,0.7026266416510318,0.6481481481481481,0.2962962962962963
VP024,"{""C"": 100.0, ""gamma"": ""auto""}",0.7461909777376758,0.6574074074074074,0.641131567130669,0.6922915793883535,0.6574074074074074,0.31481481481481477
VP025,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7275675675675676,0.7962962962962963,0.7890625,0.843402225755167,0.7962962962962963,0.5925925925925926
VP026,"{""C"": 100.0, ""gamma"": ""scale""}",0.7480928598869436,0.6759259259259259,0.654320987654321,0.7345679012345678,0.6759259259259259,0.35185185185185186
