subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6533179252411219,0.65,0.6419437340153453,0.6648351648351649,0.65,0.30000000000000004
VP002,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.633317036312725,0.7333333333333333,0.7257142857142858,0.7625,0.7333333333333334,0.4666666666666667
VP003,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6662958843159066,0.5833333333333334,0.5251661918328585,0.6633986928104576,0.5833333333333334,0.16666666666666663
VP004,"{""C"": 100.0, ""gamma"": ""scale""}",0.622994027958496,0.48333333333333334,0.4653636102328256,0.4807445442875481,0.4833333333333333,-0.03333333333333344
VP005,"{""C"": 100.0, ""gamma"": ""scale""}",0.6431390423675112,0.48333333333333334,0.4257486878666255,0.4721706864564007,0.48333333333333334,-0.03333333333333344
VP006,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6428531692608952,0.6333333333333333,0.6329254727474972,0.6339285714285714,0.6333333333333333,0.2666666666666667
VP007,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6246481076008759,0.7166666666666667,0.7127569698676429,0.7291421856639249,0.7166666666666667,0.43333333333333335
VP008,"{""C"": 100.0, ""gamma"": ""auto""}",0.6632996632996633,0.5166666666666667,0.46279715961716583,0.5278293135435992,0.5166666666666667,0.033333333333333326
VP009,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6552839723780943,0.6333333333333333,0.576379974326059,0.7884615384615384,0.6333333333333333,0.2666666666666667
VP010,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6798719487795117,0.48333333333333334,0.4257486878666255,0.4721706864564007,0.48333333333333334,-0.03333333333333344
VP011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6630300603876822,0.48333333333333334,0.35214211076280044,0.4122807017543859,0.48333333333333334,-0.03333333333333344
VP012,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.653271692745377,0.65,0.6419437340153453,0.6648351648351649,0.65,0.30000000000000004
VP013,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6632397888302306,0.6333333333333333,0.5875,0.74,0.6333333333333333,0.2666666666666667
VP014,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6833298147757197,0.75,0.7333333333333334,0.8333333333333333,0.75,0.5
VP015,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6630300603876822,0.45,0.442410588566601,0.4471210340775558,0.44999999999999996,-0.10000000000000009
VP016,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6426623326023311,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.1333333333333333
VP017,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6931151040740082,0.5,0.40476190476190477,0.5,0.5,0.0
VP018,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6628800943490694,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP019,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6404207413381725,0.6,0.569377990430622,0.639751552795031,0.6,0.19999999999999996
VP020,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6530866393880093,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP021,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6731008717310087,0.4166666666666667,0.38793354707082484,0.39740082079343364,0.41666666666666663,-0.16666666666666674
VP022,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6533333333333333,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
VP023,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6389730789802104,0.55,0.4357366771159875,0.763157894736842,0.55,0.09999999999999998
VP024,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6662958843159066,0.6,0.5238095238095238,0.7777777777777778,0.6,0.19999999999999996
VP025,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6626999588115461,0.5833333333333334,0.5251661918328585,0.6633986928104576,0.5833333333333334,0.16666666666666663
VP026,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6231281475469979,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
