subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6121212121212121,0.76875,0.7661095966180712,0.7814596629029619,0.76875,0.5375
B62,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6249084249084249,0.55,0.5493662963542482,0.5502828409805154,0.55,0.09999999999999998
B63,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6327685685055098,0.55625,0.5560939392755265,0.5563292129557189,0.5562499999999999,0.11250000000000004
B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.6296431946204502,0.54375,0.5433040078201369,0.543921568627451,0.54375,0.08750000000000002
B65,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6108909513100933,0.54375,0.5423018143344175,0.5443108086722583,0.54375,0.08750000000000002
B66,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6109137520600623,0.66875,0.6686335039662381,0.668987638867157,0.66875,0.3375
B67,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6280668854508518,0.63125,0.6312355951404351,0.6312705110173464,0.63125,0.26249999999999996
B68,"{""C"": 100.0, ""gamma"": ""scale""}",0.603982674241998,0.54375,0.5397044334975369,0.5453441295546559,0.54375,0.08750000000000002
B69,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.5934959349593496,0.625,0.6235294117647059,0.626984126984127,0.625,0.25
B70,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6311203157360009,0.63125,0.6053346711819056,0.6780038143674507,0.63125,0.26249999999999996
B71,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6234145150460844,0.5625,0.5624316299421784,0.5625390869293309,0.5625,0.125
B72,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5968395659774786,0.68125,0.6812375483417321,0.6812783247382403,0.68125,0.36250000000000004
B73,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6322513601075861,0.6375,0.6305144131231089,0.6487491548343476,0.6375,0.275
B74,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6218713073369857,0.525,0.525,0.525,0.525,0.050000000000000044
B75,"{""C"": 100.0, ""gamma"": ""scale""}",0.6123637216208824,0.5625,0.5624316299421784,0.5625390869293309,0.5625,0.125
B76,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.6182131121890158,0.475,0.4709494567784601,0.4742101869761445,0.475,-0.050000000000000044
B77,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6124659393892041,0.5625,0.5442708333333333,0.5744047619047619,0.5625,0.125
B78,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6108909513100933,0.54375,0.5323323323323323,0.5484848484848485,0.54375,0.08750000000000002
B79,"{""C"": 100.0, ""gamma"": ""auto""}",0.6109365501380619,0.70625,0.7028959740824148,0.7160039273441334,0.70625,0.4125
B80,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6123144864241679,0.625,0.6240601503759399,0.6262626262626263,0.625,0.25
B81,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6218713073369857,0.56875,0.5625817187685724,0.5728597449908925,0.56875,0.13749999999999996
