subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6442864829613976,0.615,0.6114937309215671,0.61930698205208,0.615,0.22999999999999998
sub-002,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6369909247731194,0.66,0.6598639455782312,0.6602564102564102,0.66,0.31999999999999995
sub-003,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6399391497163021,0.8,0.7992773986350863,0.8043831168831169,0.8,0.6
sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.635947576451009,0.58,0.5798319327731092,0.5801282051282051,0.5800000000000001,0.16000000000000003
sub-005,"{""C"": 100.0, ""gamma"": ""auto""}",0.6329908247706193,0.585,0.5812205151492217,0.5881834215167548,0.585,0.17000000000000004
sub-006,"{""C"": 100.0, ""gamma"": ""scale""}",0.6443505383137264,0.595,0.5913115870733369,0.5985579416951966,0.595,0.18999999999999995
sub-007,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6424848949868132,0.575,0.5747342088805503,0.575187969924812,0.575,0.15000000000000002
sub-008,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6373323568819687,0.795,0.7948717948717949,0.7957393483709273,0.7949999999999999,0.5900000000000001
sub-009,"{""C"": 100.0, ""gamma"": ""scale""}",0.6384673716802942,0.59,0.59,0.59,0.59,0.18000000000000005
sub-010,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6449488726376598,0.66,0.6587715776796468,0.6623376623376623,0.6599999999999999,0.31999999999999995
sub-011,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.631947000368053,0.8,0.7999799979998,0.8001200480192077,0.8,0.6
sub-012,"{""C"": 100.0, ""gamma"": ""scale""}",0.6304991686231294,0.495,0.4946841776110069,0.4949874686716792,0.495,-0.010000000000000009
sub-013,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6304954735695512,0.65,0.6439833180754755,0.6608751608751608,0.65,0.30000000000000004
