subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.715347018572825,0.93125,0.9312258215778985,0.9318572993271788,0.9312499999999999,0.8625
B62,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7483336630592212,0.9375,0.9374609130706691,0.9385964912280702,0.9375,0.875
B63,"{""C"": 100.0, ""gamma"": ""auto""}",0.7466746156627802,0.775,0.7741176470588236,0.7793650793650794,0.775,0.55
B64,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7390618629440013,0.4625,0.45835301527318534,0.46131528046421666,0.4625,-0.07499999999999996
B65,"{""C"": 100.0, ""gamma"": ""scale""}",0.7062385249423806,0.85625,0.8562443845462713,0.8563056727613689,0.85625,0.7125
B66,"{""C"": 100.0, ""gamma"": ""auto""}",0.7436874236874237,0.65,0.6455135306219338,0.6579986833443054,0.6499999999999999,0.30000000000000004
B67,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7295759236599085,0.56875,0.5679229775742632,0.5692804282790112,0.5687500000000001,0.13749999999999996
B68,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7343334896077511,0.54375,0.5435895431987808,0.5438116100766703,0.54375,0.08750000000000002
B69,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7528836754643207,0.925,0.924894382725708,0.9274041483343809,0.925,0.85
B70,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7561333059764926,0.575,0.5523370638578011,0.5940438871473355,0.575,0.15000000000000002
B71,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7655883731833099,0.55,0.549929676511955,0.5500312695434647,0.55,0.09999999999999998
B72,"{""C"": 100.0, ""gamma"": ""auto""}",0.7293961516183195,0.56875,0.5667019898740139,0.5700748526835484,0.56875,0.13749999999999996
B73,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7417935081606455,0.91875,0.9183641430197418,0.9268195572543398,0.91875,0.8375
B74,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.732806629051908,0.83125,0.8311906529639326,0.8317164762947895,0.83125,0.6625
B75,"{""C"": 100.0, ""gamma"": ""scale""}",0.7453069037161462,0.7125,0.7123202001250781,0.713032581453634,0.7125,0.42500000000000004
B76,"{""C"": 100.0, ""gamma"": ""auto""}",0.7358285034596794,0.9375,0.9374119856047567,0.9399748585795098,0.9375,0.875
B77,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.75,0.4625,0.46115288220551376,0.4621212121212121,0.46249999999999997,-0.07499999999999996
B78,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.709144929094303,0.83125,0.8309263825290595,0.8338056998897811,0.83125,0.6625
B79,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7171868095381093,0.95625,0.9562482909488652,0.9563213002031568,0.95625,0.9125
B80,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7513433470417042,0.5875,0.5869191049913942,0.587994971715902,0.5875,0.17500000000000004
B81,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7561904761904762,0.68125,0.6809384164222874,0.6819607843137254,0.68125,0.36250000000000004
