subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6286971504134815,0.755,0.7536140791954746,0.7608695652173914,0.755,0.51
sub-002,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.632998531994128,0.505,0.5048885999349854,0.5050045040536483,0.505,0.010000000000000009
sub-003,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6218907264199354,0.485,0.4848840989222575,0.4849864878390552,0.485,-0.030000000000000027
sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.6237256960324076,0.44,0.4252873563218391,0.4331550802139037,0.44,-0.1200000000000001
sub-005,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.622,0.885,0.8847666524712543,0.8881439661256175,0.885,0.77
sub-006,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6059858154893576,0.7,0.6910719802286067,0.7261420171867933,0.7,0.4
sub-007,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6348389639831166,0.515,0.5095932657549483,0.5156920179935139,0.515,0.030000000000000027
sub-008,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.634999634999635,0.57,0.569827931172469,0.5701121794871795,0.5700000000000001,0.14
sub-009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6357902151639344,0.49,0.49,0.49,0.49,-0.020000000000000018
sub-010,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.640489124796025,0.54,0.5388471177944862,0.5404040404040404,0.54,0.07999999999999996
sub-011,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6277628774380466,0.81,0.81,0.81,0.81,0.62
sub-012,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6399909997749944,0.505,0.4994817866983493,0.5052306726645046,0.505,0.010000000000000009
sub-013,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6121849972640276,0.65,0.648735447611401,0.6521915584415584,0.6499999999999999,0.30000000000000004
sub-014,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6332020683800417,0.485,0.4848840989222575,0.4849864878390552,0.485,-0.030000000000000027
sub-015,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6304843879653915,0.58,0.5772946859903382,0.5821018062397373,0.5800000000000001,0.16000000000000003
sub-016,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6339941439063025,0.59,0.5899589958995899,0.5900360144057624,0.59,0.18000000000000005
sub-017,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6189356001164197,0.62,0.6198479391756703,0.6201923076923077,0.62,0.24
sub-018,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6181565077255657,0.515,0.5148908504413493,0.5150135121609448,0.515,0.030000000000000027
sub-019,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6383328193457426,0.585,0.5847404627892432,0.5852130325814536,0.585,0.17000000000000004
sub-020,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.628488761785044,0.55,0.5498199279711885,0.5500801282051282,0.55,0.09999999999999998
sub-021,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6404955960710519,0.66,0.6594551282051282,0.6610305958132046,0.6599999999999999,0.31999999999999995
sub-022,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.624,0.59,0.5893429487179487,0.5905797101449275,0.5900000000000001,0.18000000000000005
sub-023,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6197018462474579,0.7386934673366834,0.7381578947368421,0.7402319902319903,0.7384848484848485,0.47716248989490706
sub-024,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.6259042314832597,0.655,0.6547842401500938,0.6553884711779449,0.655,0.31000000000000005
sub-025,"{""C"": 100.0, ""gamma"": ""scale""}",0.6184953265677504,0.63,0.6236395076797885,0.6394251394251393,0.63,0.26
sub-026,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.625999625999626,0.592964824120603,0.577561129019577,0.6072521780080056,0.592020202020202,0.18438496179729802
sub-027,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6204923149693782,0.5,0.4900040799673603,0.5,0.5,0.0
sub-028,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6220236553116065,0.83,0.8299829982998299,0.8301320528211285,0.83,0.6599999999999999
sub-029,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6305977209180798,0.93,0.9297470895222801,0.9362824675324675,0.9299999999999999,0.86
sub-030,"{""C"": 100.0, ""gamma"": ""scale""}",0.632999632999633,0.545,0.525039797489496,0.5540930400288496,0.545,0.08999999999999997
sub-031,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6154975968599804,0.615,0.6121981315000882,0.6184224075790341,0.615,0.22999999999999998
sub-032,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.628131012997647,0.645,0.6350646346791395,0.6627202334193694,0.645,0.29000000000000004
sub-033,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6152297951236255,0.81,0.8084484323016433,0.8203803224472923,0.81,0.62
