subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 100.0, ""gamma"": ""scale""}",0.8777438177271464,0.6666666666666666,0.6535685645549318,0.6963636363636363,0.6666666666666667,0.33333333333333337
VP002,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8775926555593335,0.7222222222222222,0.7037037037037037,0.7962962962962963,0.7222222222222222,0.4444444444444444
VP003,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8416556705326759,0.9027777777777778,0.9026086956521739,0.9055944055944056,0.9027777777777778,0.8055555555555556
VP004,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.9055088932806324,0.8055555555555556,0.804953560371517,0.809375,0.8055555555555556,0.6111111111111112
VP005,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.852685706344243,0.7916666666666666,0.791304347826087,0.7937062937062938,0.7916666666666667,0.5833333333333333
VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8583060003858769,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
VP007,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8666296193387052,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP008,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8444444444444444,0.9444444444444444,0.9442724458204335,0.95,0.9444444444444444,0.8888888888888888
VP009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8277777777777777,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP010,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8722064452401531,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP011,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8694353774567678,0.7361111111111112,0.7241379310344828,0.7857142857142857,0.7361111111111112,0.4722222222222222
VP012,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8444252376836646,1.0,1.0,1.0,1.0,1.0
VP013,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8387096774193549,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP014,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.8777740053705361,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
VP015,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8415676464456953,0.875,0.8743942624539639,0.8823760818253343,0.875,0.75
VP016,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8553367747519396,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444
VP017,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8527766417950755,0.7916666666666666,0.7896786757546251,0.8031275060144346,0.7916666666666666,0.5833333333333333
VP018,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8499258893280632,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP019,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8387644787644788,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP020,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.835897118928232,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP021,"{""C"": 100.0, ""gamma"": ""scale""}",0.8777777777777778,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888
VP022,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8916658307548669,0.8611111111111112,0.8610038610038611,0.8622291021671826,0.8611111111111112,0.7222222222222222
VP023,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.858332240217903,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.6111111111111112
VP024,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8610939622175577,0.7638888888888888,0.7601410934744268,0.7814814814814814,0.7638888888888888,0.5277777777777778
VP025,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.8525855475118016,0.9861111111111112,0.9861084314103801,0.9864864864864865,0.9861111111111112,0.9722222222222222
VP026,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8665183537263625,0.8194444444444444,0.8194096083349411,0.8196911196911197,0.8194444444444444,0.6388888888888888
