subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.7171717171717171,0.6333333333333333,0.6316964285714286,0.6357466063348416,0.6333333333333333,0.2666666666666667
VP002,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6831608320085379,0.7333333333333333,0.7321428571428572,0.7375565610859729,0.7333333333333334,0.4666666666666667
VP003,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.7171717171717171,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP004,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7224420639609412,0.5166666666666667,0.5099971838918614,0.517626321974148,0.5166666666666666,0.033333333333333326
VP005,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6756250627013409,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP006,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6753645176764578,0.8666666666666667,0.8665183537263625,0.8683035714285714,0.8666666666666667,0.7333333333333334
VP007,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7098420251025559,0.7333333333333333,0.7330367074527253,0.734375,0.7333333333333334,0.4666666666666667
VP008,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7293233082706767,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
VP009,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6797722825120085,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP010,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6762313777411854,0.6166666666666667,0.6113770768797522,0.6233842538190364,0.6166666666666667,0.23333333333333328
VP011,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6852678571428572,0.6666666666666666,0.6527777777777778,0.6984126984126984,0.6666666666666667,0.33333333333333337
VP012,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6507645882073713,0.6166666666666667,0.607843137254902,0.6282051282051282,0.6166666666666667,0.23333333333333328
VP013,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6895826611333014,0.7333333333333333,0.7321428571428572,0.7375565610859729,0.7333333333333334,0.4666666666666667
VP014,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6798719487795117,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
VP015,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6951081801346041,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP016,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7072645498491459,0.8833333333333333,0.8830409356725146,0.8872053872053872,0.8833333333333333,0.7666666666666666
VP017,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6763754045307443,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP018,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7199875550024446,0.6,0.5885714285714285,0.6125,0.6000000000000001,0.19999999999999996
VP019,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6809954751131222,0.7166666666666667,0.7165879410947485,0.7169076751946608,0.7166666666666666,0.43333333333333335
VP020,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.732751325108013,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
VP021,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.66,0.8166666666666667,0.8166157265907197,0.8170189098998888,0.8166666666666667,0.6333333333333333
VP022,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7114868491680086,0.6333333333333333,0.5875,0.74,0.6333333333333333,0.2666666666666667
VP023,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6977296135417133,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
VP024,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6965014285555469,0.6833333333333333,0.6789636722050126,0.6938895417156287,0.6833333333333333,0.3666666666666667
VP025,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.7242647058823529,0.7166666666666667,0.7101449275362319,0.7380952380952381,0.7166666666666667,0.43333333333333335
VP026,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6963934207453375,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
