subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7827483216477524,0.86875,0.8684982975226019,0.8715950244056054,0.8687499999999999,0.7375
B62,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7530864197530864,0.65625,0.6561291078894924,0.6564700359881083,0.65625,0.3125
B63,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7562119081106423,0.7,0.6999531176746367,0.7001250781738586,0.7,0.4
B64,"{""C"": 100.0, ""gamma"": ""auto""}",0.7624976806414125,0.75,0.7480711698945048,0.7578981302385557,0.75,0.5
B65,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7577977171458219,0.79375,0.7927705168962675,0.7994107341933429,0.79375,0.5875
B66,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7468354430379747,0.78125,0.7802111542839201,0.7866698518872433,0.78125,0.5625
B67,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.735466687537145,0.88125,0.8812453611469198,0.8813095796218159,0.88125,0.7625
B68,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7593726501235363,0.65625,0.6476476476476476,0.6731601731601732,0.65625,0.3125
B69,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.7484221449063053,0.7125,0.7117794486215538,0.7146464646464648,0.7124999999999999,0.42500000000000004
B70,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7577409342115224,0.75625,0.7557825525419749,0.7582270508581326,0.7562500000000001,0.5125
B71,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7374974364984033,0.75,0.7499609313955306,0.7501563477173233,0.75,0.5
B72,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.753125,0.83125,0.8311906529639326,0.8317164762947895,0.83125,0.6625
B73,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7390618629440013,0.70625,0.7000518527382235,0.7248339294839039,0.70625,0.4125
B74,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7311843711843712,0.63125,0.6259756725702286,0.6390958768007948,0.63125,0.26249999999999996
B75,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.7546869010910671,0.7375,0.7371303395399781,0.7388434946574481,0.7375,0.475
B76,"{""C"": 100.0, ""gamma"": ""auto""}",0.7421818350500866,0.775,0.7737272155876807,0.7813299232736572,0.7749999999999999,0.55
B77,"{""C"": 100.0, ""gamma"": ""auto""}",0.7624420024420024,0.7375,0.736842105263158,0.7398989898989898,0.7375,0.475
B78,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7468131868131869,0.58125,0.5812336419391382,0.5812626972964525,0.58125,0.16249999999999998
B79,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7343101343101344,0.86875,0.8687038411941699,0.8692692849319354,0.8687499999999999,0.7375
B80,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7592903755226448,0.66875,0.6686335039662381,0.668987638867157,0.66875,0.3375
B81,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7640573157125035,0.81875,0.818572825024438,0.8200000000000001,0.81875,0.6375
