subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8089845277467476,0.88,0.88,0.88,0.88,0.76
sub-002,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.815999263997056,0.72,0.7198879551820728,0.7203525641025641,0.72,0.43999999999999995
sub-003,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8084861631252858,0.925,0.9249080123150859,0.9270927544970355,0.925,0.85
sub-004,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.819,0.54,0.534365826500658,0.5420344682639765,0.54,0.07999999999999996
sub-005,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.807995199879997,0.905,0.9049976249406235,0.905040504050405,0.905,0.81
sub-006,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.812988031233999,0.86,0.8588567395906845,0.8720545680033072,0.86,0.72
sub-007,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.808465092763156,0.71,0.7050147492625369,0.7252252252252251,0.71,0.42000000000000004
sub-008,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7984914862652948,0.9,0.8999899989999001,0.9001600640256102,0.9,0.8
sub-009,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8234328603451462,0.79,0.78997899789979,0.7901160464185675,0.79,0.5800000000000001
sub-010,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8234395721935832,0.81,0.8090644156366193,0.8161974704202366,0.81,0.62
sub-011,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8024639990638294,0.9,0.899749373433584,0.904040404040404,0.8999999999999999,0.8
sub-012,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8139774912764444,0.525,0.5249881247031176,0.525002500250025,0.525,0.050000000000000044
sub-013,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8134977153470131,0.87,0.8699869986998701,0.8701480592236894,0.87,0.74
sub-014,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8154866689118289,0.55,0.5483741469289443,0.5507305194805194,0.55,0.09999999999999998
sub-015,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8064473052788621,0.825,0.8249606161386311,0.8252927634871384,0.825,0.65
sub-016,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.8114995758740458,0.665,0.6596825396825396,0.6759999999999999,0.665,0.32999999999999996
sub-017,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8164500285202646,0.775,0.7745434504872366,0.7772456900897269,0.7749999999999999,0.55
sub-018,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8264683738611363,0.64,0.64,0.64,0.64,0.28
